experiment,run,prec_0
baseline_trec_100_adapter,1,0.93119
baseline_trec_100_adapter,2,0.93885
baseline_trec_100_adapter,3,0.92935
baseline_trec_100_lora,1,0.92261
baseline_trec_100_lora,2,0.91933
baseline_trec_100_lora,3,0.92837
baseline_trec_100_prefix,1,0.92375
baseline_trec_100_prefix,2,0.92396
baseline_trec_100_prefix,3,0.92385
