experiment,run,acc_0
baseline_trec_100_adapter,1,0.91814
baseline_trec_100_adapter,2,0.92699
baseline_trec_100_adapter,3,0.91372
baseline_trec_100_lora,1,0.90487
baseline_trec_100_lora,2,0.90487
baseline_trec_100_lora,3,0.91814
baseline_trec_100_prefix,1,0.90929
baseline_trec_100_prefix,2,0.9115
baseline_trec_100_prefix,3,0.9115
