experiment,run,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9
training_sensation_10_lora_sd_entropy,1,0.69617,0.70813,0.69139,0.67943,0.66029,0.65789,0.72249,0.6555,0.68421,0.65311
training_sensation_10_lora_sd_entropy,2,0.70813,0.71053,0.74163,0.73923,0.73923,0.7201,0.70813,0.72249,0.73445,0.74641
training_sensation_10_lora_sd_entropy,3,0.66507,0.71531,0.689,0.71292,0.7488,0.7488,0.73923,0.7488,0.74402,0.73445
training_sensation_10_lora_sd_random,1,0.69617,0.50478,0.59809,0.61483,0.6244,0.66507,0.68182,0.69617,0.6866,0.70096
training_sensation_10_lora_sd_random,2,0.7201,0.63636,0.55502,0.65311,0.6244,0.66746,0.67225,0.64354,0.64833,0.69378
training_sensation_10_lora_sd_random,3,0.689,0.49522,0.63397,0.6555,0.67703,0.66746,0.63158,0.63876,0.72967,0.69617
training_sensation_10_lora_sds2_coreset,1,0.64833,0.54545,0.55742,0.57177,0.61483,0.6244,0.63397,0.63158,0.60766,0.59569
training_sensation_10_lora_sds2_coreset,2,0.69139,0.54545,0.62201,0.59809,0.67225,0.70096,0.67943,0.64833,0.69617,0.70096
training_sensation_10_lora_sds2_coreset,3,0.6244,0.63636,0.52632,0.56699,0.60526,0.58373,0.67703,0.6866,0.68182,0.70096
training_sensation_10_lora_sds2_entropy,1,0.64354,0.65072,0.70574,0.67225,0.71292,0.72249,0.69139,0.69856,0.72488,0.74641
training_sensation_10_lora_sds2_entropy,2,0.69139,0.71292,0.73923,0.73684,0.73206,0.73923,0.74641,0.73923,0.74163,0.76077
training_sensation_10_lora_sds2_entropy,3,0.6244,0.70813,0.73206,0.73206,0.72967,0.7201,0.74402,0.7177,0.72967,0.74163
training_sensation_10_lora_sds2_random,1,0.64354,0.51435,0.57895,0.62919,0.61962,0.62201,0.64115,0.67225,0.64593,0.65311
training_sensation_10_lora_sds2_random,2,0.67703,0.59569,0.61962,0.63397,0.64354,0.66507,0.68182,0.66986,0.71053,0.66507
training_sensation_10_lora_sds2_random,3,0.67703,0.49522,0.66507,0.63876,0.61722,0.69378,0.67464,0.689,0.72249,0.74163
training_sensation_10_prefix_der_coreset,1,0.71053,0.52153,0.67225,0.64593,0.63876,0.66268,0.69139,0.67225,0.67225,0.689
training_sensation_10_prefix_der_coreset,2,0.69378,0.62201,0.61483,0.64833,0.62919,0.73684,0.73923,0.71531,0.71292,0.73684
training_sensation_10_prefix_der_coreset,3,0.73923,0.45215,0.53828,0.72488,0.70574,0.74641,0.73684,0.69378,0.71531,0.72249
training_sensation_10_prefix_der_entropy,1,0.62679,0.61483,0.60048,0.66986,0.68421,0.66507,0.70813,0.69139,0.7201,0.7201
training_sensation_10_prefix_der_entropy,2,0.69378,0.68421,0.66746,0.72249,0.72249,0.67703,0.71292,0.70813,0.73445,0.77751
training_sensation_10_prefix_der_entropy,3,0.73923,0.49761,0.70096,0.7201,0.72967,0.72488,0.76794,0.69378,0.73684,0.75359
training_sensation_10_prefix_der_random,1,0.62679,0.60766,0.64354,0.60287,0.65072,0.6555,0.689,0.67943,0.70574,0.72488
training_sensation_10_prefix_der_random,2,0.74163,0.73684,0.74163,0.74163,0.53349,0.73445,0.69617,0.67225,0.71292,0.71292
training_sensation_10_prefix_der_random,3,0.60766,0.60526,0.5933,0.65072,0.62919,0.66746,0.66746,0.69139,0.72727,0.73445
training_sensation_10_prefix_sd_coreset,1,0.71053,0.53828,0.5622,0.62679,0.58373,0.56459,0.57895,0.59091,0.59809,0.61962
training_sensation_10_prefix_sd_coreset,2,0.69378,0.60526,0.61244,0.65311,0.65072,0.64833,0.58612,0.60526,0.60287,0.62919
training_sensation_10_prefix_sd_coreset,3,0.73923,0.46172,0.58373,0.72727,0.66268,0.70335,0.64115,0.689,0.73684,0.70813
