experiment,run,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
training_sensation_10_lora_sd_entropy,1,0.46431,0.51927,0.55904,0.56556,0.58708,0.58315,0.5517,0.591,0.62163,0.60566
training_sensation_10_lora_sd_entropy,2,0.47664,0.47184,0.58262,0.62169,0.60939,0.62439,0.58757,0.59894,0.60547,0.62476
training_sensation_10_lora_sd_entropy,3,0.4876,0.4546,0.52825,0.57174,0.62979,0.6268,0.63806,0.62372,0.6447,0.65035
training_sensation_10_lora_sd_random,1,0.46431,0.48644,0.52909,0.52834,0.55101,0.58238,0.58857,0.6024,0.61026,0.64733
training_sensation_10_lora_sd_random,2,0.47046,0.53117,0.52061,0.56397,0.56973,0.57251,0.57619,0.57584,0.58526,0.59804
training_sensation_10_lora_sd_random,3,0.44232,0.47842,0.52946,0.54213,0.56376,0.55376,0.54771,0.58454,0.62738,0.61166
training_sensation_10_lora_sds2_coreset,1,0.52498,0.51786,0.51546,0.534,0.56538,0.57462,0.60169,0.59727,0.58069,0.56259
training_sensation_10_lora_sds2_coreset,2,0.48916,0.50313,0.54496,0.52705,0.58344,0.64733,0.60645,0.59056,0.62413,0.64576
training_sensation_10_lora_sds2_coreset,3,0.52788,0.53913,0.50538,0.54234,0.55294,0.55512,0.61912,0.61428,0.60839,0.60625
training_sensation_10_lora_sds2_entropy,1,0.50524,0.54701,0.5857,0.52814,0.57174,0.59263,0.60327,0.5968,0.60086,0.63629
training_sensation_10_lora_sds2_entropy,2,0.48916,0.45348,0.44232,0.44137,0.46974,0.52422,0.56017,0.59219,0.60127,0.62417
training_sensation_10_lora_sds2_entropy,3,0.52788,0.44437,0.44743,0.55425,0.60473,0.61419,0.60668,0.58886,0.62478,0.65215
training_sensation_10_lora_sds2_random,1,0.50524,0.49129,0.52225,0.53886,0.56593,0.56783,0.58479,0.60064,0.58151,0.58533
training_sensation_10_lora_sds2_random,2,0.48559,0.51669,0.52696,0.55831,0.57389,0.5968,0.59096,0.60066,0.6381,0.61087
training_sensation_10_lora_sds2_random,3,0.49031,0.47652,0.52322,0.56409,0.54957,0.60519,0.57551,0.61013,0.62391,0.6322
training_sensation_10_prefix_der_coreset,1,0.44543,0.47536,0.55133,0.52941,0.55076,0.61937,0.62017,0.61516,0.61,0.60361
training_sensation_10_prefix_der_coreset,2,0.50054,0.56084,0.53297,0.58341,0.57846,0.64571,0.63806,0.63188,0.63615,0.65243
training_sensation_10_prefix_der_coreset,3,0.42503,0.45049,0.5261,0.63549,0.62601,0.65167,0.65666,0.62595,0.64408,0.65757
training_sensation_10_prefix_der_entropy,1,0.53949,0.54168,0.54052,0.58835,0.61802,0.60413,0.60181,0.58586,0.59392,0.59703
training_sensation_10_prefix_der_entropy,2,0.50054,0.5776,0.57736,0.58601,0.64009,0.58953,0.60013,0.6096,0.63892,0.66394
training_sensation_10_prefix_der_entropy,3,0.42503,0.48971,0.61332,0.62439,0.63955,0.62591,0.68859,0.64852,0.68013,0.68323
training_sensation_10_prefix_der_random,1,0.53949,0.53419,0.56349,0.54595,0.57751,0.5833,0.584,0.59813,0.61255,0.63081
training_sensation_10_prefix_der_random,2,0.42582,0.43296,0.42582,0.42582,0.51621,0.57704,0.59995,0.58802,0.616,0.63201
training_sensation_10_prefix_der_random,3,0.55142,0.5324,0.53679,0.57952,0.58456,0.58201,0.59072,0.63918,0.65041,0.64817
training_sensation_10_prefix_sd_coreset,1,0.44543,0.49293,0.49241,0.52161,0.55846,0.54535,0.54638,0.5696,0.57046,0.58093
training_sensation_10_prefix_sd_coreset,2,0.50054,0.56512,0.54591,0.60105,0.60799,0.6206,0.55472,0.58376,0.57558,0.59403
training_sensation_10_prefix_sd_coreset,3,0.42503,0.46036,0.5635,0.66347,0.62717,0.63764,0.60402,0.61624,0.63852,0.64864
training_sensation_10_prefix_sd_entropy,1,0.53949,0.53467,0.58519,0.58484,0.59622,0.56098,0.56614,0.6608,0.67781,0.67325
training_sensation_10_prefix_sd_entropy,2,0.50054,0.5776,0.60327,0.60706,0.60361,0.61955,0.58908,0.64224,0.66085,0.64097
training_sensation_10_prefix_sd_entropy,3,0.42503,0.5142,0.58153,0.59129,0.63002,0.63311,0.64576,0.66432,0.67753,0.66858
training_sensation_10_prefix_sd_random,1,0.53949,0.54316,0.51319,0.546,0.54515,0.57209,0.60446,0.59268,0.62079,0.62192
training_sensation_10_prefix_sd_random,2,0.42582,0.42582,0.47794,0.55704,0.57046,0.58238,0.5454,0.58175,0.62041,0.60128
