experiment,run,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9
training_sensation_10_lora_sd_entropy,1,0.49349,0.5287,0.55663,0.56365,0.596,0.59137,0.55346,0.60484,0.63626,0.63339
training_sensation_10_lora_sd_entropy,2,0.50457,0.50317,0.57843,0.61302,0.60096,0.62124,0.583,0.59268,0.59773,0.61484
training_sensation_10_lora_sd_entropy,3,0.49665,0.49734,0.53088,0.56813,0.61947,0.61646,0.63112,0.61344,0.63737,0.64901
training_sensation_10_lora_sd_random,1,0.49349,0.53943,0.53898,0.53217,0.55974,0.58716,0.5894,0.60209,0.61676,0.66867
training_sensation_10_lora_sd_random,2,0.5066,0.5316,0.5552,0.56703,0.5899,0.57369,0.57691,0.58772,0.6,0.59746
training_sensation_10_lora_sd_random,3,0.4796,0.53297,0.52999,0.54149,0.56204,0.55257,0.55251,0.60562,0.62165,0.61416
training_sensation_10_lora_sds2_coreset,1,0.52458,0.56081,0.54173,0.56649,0.58949,0.59895,0.64764,0.63999,0.63292,0.60373
training_sensation_10_lora_sds2_coreset,2,0.50535,0.52763,0.55209,0.53596,0.58596,0.66867,0.61493,0.60905,0.63226,0.66565
training_sensation_10_lora_sds2_coreset,3,0.52957,0.54065,0.55696,0.59343,0.57398,0.6017,0.63746,0.62279,0.61655,0.60532
training_sensation_10_lora_sds2_entropy,1,0.50627,0.54731,0.58139,0.52864,0.56813,0.58665,0.6049,0.59465,0.5943,0.62691
training_sensation_10_lora_sds2_entropy,2,0.50535,0.49573,0.50442,0.50281,0.51165,0.54062,0.56356,0.58587,0.59352,0.61246
training_sensation_10_lora_sds2_entropy,3,0.52957,0.48949,0.5026,0.5569,0.59752,0.60917,0.59815,0.58342,0.61864,0.64782
training_sensation_10_lora_sds2_random,1,0.50627,0.53683,0.53814,0.54185,0.58668,0.58829,0.60421,0.6101,0.59537,0.59719
training_sensation_10_lora_sds2_random,2,0.49869,0.52228,0.52936,0.56619,0.58471,0.60827,0.59241,0.6115,0.64495,0.63241
training_sensation_10_lora_sds2_random,3,0.5017,0.52694,0.52381,0.57243,0.56093,0.60651,0.57551,0.61535,0.61983,0.62369
training_sensation_10_prefix_der_coreset,1,0.4911,0.4934,0.54976,0.529,0.55433,0.65191,0.62903,0.63423,0.62518,0.6063
training_sensation_10_prefix_der_coreset,2,0.51299,0.57622,0.5382,0.59698,0.60218,0.64158,0.63112,0.63309,0.64053,0.65063
training_sensation_10_prefix_der_coreset,3,0.49839,0.55523,0.60122,0.63351,0.62966,0.64501,0.65666,0.63668,0.65119,0.6681
training_sensation_10_prefix_der_entropy,1,0.54325,0.55027,0.55568,0.5934,0.63023,0.62034,0.59809,0.58378,0.58805,0.59107
training_sensation_10_prefix_der_entropy,2,0.51299,0.57593,0.57972,0.58062,0.64095,0.5922,0.59528,0.60714,0.63393,0.64788
training_sensation_10_prefix_der_entropy,3,0.49839,0.57079,0.61437,0.62124,0.63674,0.62145,0.68366,0.67891,0.69588,0.68605
training_sensation_10_prefix_der_random,1,0.54325,0.54241,0.56962,0.56332,0.58653,0.59277,0.58217,0.60287,0.61156,0.62748
training_sensation_10_prefix_der_random,2,0.5,0.49979,0.5,0.5,0.57688,0.5736,0.59907,0.592,0.61338,0.6345
training_sensation_10_prefix_der_random,3,0.56956,0.5408,0.55385,0.58955,0.61425,0.58575,0.59782,0.66222,0.65323,0.646
