experiment,run,rec_0
baseline_sensation_100_adapter,1,0.66915
baseline_sensation_100_adapter,2,0.70842
baseline_sensation_100_adapter,3,0.68949
baseline_sensation_100_lora,1,0.72855
baseline_sensation_100_lora,2,0.70078
baseline_sensation_100_lora,3,0.72351
baseline_sensation_100_prefix,1,0.71747
baseline_sensation_100_prefix,2,0.6951
baseline_sensation_100_prefix,3,0.5
