experiment,run,acc_0
baseline_sensation_100_adapter,1,0.74641
baseline_sensation_100_adapter,2,0.7823
baseline_sensation_100_adapter,3,0.76316
baseline_sensation_100_lora,1,0.79426
baseline_sensation_100_lora,2,0.7799
baseline_sensation_100_lora,3,0.7823
baseline_sensation_100_prefix,1,0.7823
baseline_sensation_100_prefix,2,0.75359
baseline_sensation_100_prefix,3,0.74163
