experiment,run,f1_0
baseline_sensation_100_adapter,1,0.66915
baseline_sensation_100_adapter,2,0.71156
baseline_sensation_100_adapter,3,0.69006
baseline_sensation_100_lora,1,0.72993
baseline_sensation_100_lora,2,0.7056
baseline_sensation_100_lora,3,0.72013
baseline_sensation_100_prefix,1,0.71682
baseline_sensation_100_prefix,2,0.68856
baseline_sensation_100_prefix,3,0.42582
