experiment,run,time_0
baseline_sensation_100_adapter,1,57
baseline_sensation_100_adapter,2,57
baseline_sensation_100_adapter,3,57
baseline_sensation_100_lora,1,57
baseline_sensation_100_lora,2,59
baseline_sensation_100_lora,3,56
baseline_sensation_100_prefix,1,59
baseline_sensation_100_prefix,2,57
baseline_sensation_100_prefix,3,57
