experiment,run,time_0
baseline_sensation_100_adapter,1,1060438
baseline_sensation_100_adapter,2,1062762
baseline_sensation_100_adapter,3,1059116
baseline_sensation_100_lora,1,1054956
baseline_sensation_100_lora,2,1046511
baseline_sensation_100_lora,3,1052748
baseline_sensation_100_prefix,1,1023804
baseline_sensation_100_prefix,2,1024582
baseline_sensation_100_prefix,3,1024651
