experiment,run,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
training_sensation_10_prefix_der_coreset,2,11216,21655,21687,21689,21715,21703,21706,21694,21685,21675
training_sensation_10_prefix_der_coreset,3,11199,21668,21681,21681,21695,21669,21676,21689,21685,21670
training_sensation_10_prefix_der_entropy,1,11176,21673,21687,21698,21705,21687,21717,21710,21691,21690
training_sensation_10_prefix_der_entropy,2,11223,21695,21718,21738,21738,21757,21771,21763,21736,21758
training_sensation_10_prefix_der_entropy,3,11239,21722,21747,21761,21770,21779,21773,21775,21771,21757
training_sensation_10_prefix_der_random,1,11158,21540,21565,21568,21572,21585,21597,21542,21547,21551
training_sensation_10_prefix_der_random,2,11229,21522,21546,21545,21535,21530,21541,21542,21524,21534
training_sensation_10_prefix_der_random,3,11200,21535,21543,21562,21539,21533,21548,21560,21542,21542
training_sensation_10_prefix_sd_coreset,1,11160,21657,21682,21705,21723,21747,21722,21697,21690,21707
training_sensation_10_prefix_sd_coreset,2,11241,21738,21792,21783,21796,21768,21783,21769,21785,21773
training_sensation_10_prefix_sd_coreset,3,11267,21735,21753,21758,21756,21737,21741,21748,21734,21733
training_sensation_10_prefix_sd_entropy,1,11151,21647,21676,21670,21675,21656,21672,21665,21651,21662
training_sensation_10_prefix_sd_entropy,2,11234,21688,21718,21730,21731,21711,21745,21723,21717,21737
training_sensation_10_prefix_sd_entropy,3,11245,21663,21692,21704,21717,21724,21722,21751,21727,21709
training_sensation_10_prefix_sd_random,1,11204,21586,21610,21608,21595,21607,21583,21563,21549,21558
training_sensation_10_prefix_sd_random,2,11204,21546,21542,21533,21542,21533,21560,21549,21558,21552
training_sensation_10_prefix_sd_random,3,11207,21530,21531,21548,21559,21556,21560,21572,21559,21561
training_sensation_10_prefix_sds2_coreset,1,11090,21868,31816,32027,32039,32088,32048,32103,32044,32090
training_sensation_10_prefix_sds2_coreset,2,11249,21881,31822,32071,32067,32074,32036,32015,32015,32004
training_sensation_10_prefix_sds2_coreset,3,11227,21882,31804,32053,32024,32010,32025,32015,32014,31986
training_sensation_10_prefix_sds2_entropy,1,11184,21866,31644,31937,31914,31915,31956,31921,31939,31931
training_sensation_10_prefix_sds2_entropy,2,11249,21873,31836,32070,32063,32080,32119,32115,32119,32110
training_sensation_10_prefix_sds2_entropy,3,11228,21852,31769,32021,32046,32042,32015,31999,31995,32043
training_sensation_10_prefix_sds2_random,1,11204,21815,31474,31738,31744,31738,31747,31759,31716,31748
training_sensation_10_prefix_sds2_random,2,11258,21781,31595,31866,31907,31932,31918,31910,31880,31858
training_sensation_10_prefix_sds2_random,3,11169,21685,31563,31815,31858,31847,31858,31830,31833,31860
