experiment,run,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
training_sensation_10_prefix_der_entropy,3,4,20088,19918,19686,19506,19311,19115,18917,18673,18511
training_sensation_10_prefix_der_random,1,3,6,4,4,4,4,4,4,4,4
training_sensation_10_prefix_der_random,2,3,6,4,5,4,4,2,4,4,4
training_sensation_10_prefix_der_random,3,3,6,5,4,5,4,4,4,4,4
training_sensation_10_prefix_sd_coreset,1,3,20164,20168,20188,20151,20205,20237,20248,20201,20219
training_sensation_10_prefix_sd_coreset,2,3,20363,20374,20414,20419,20424,20416,20487,20385,20403
training_sensation_10_prefix_sd_coreset,3,3,20419,20451,20460,20519,20472,20408,20467,20442,20427
training_sensation_10_prefix_sd_entropy,1,4,20060,19739,19479,19282,19132,18924,18723,18477,18308
training_sensation_10_prefix_sd_entropy,2,3,20103,19881,19728,19499,19373,19170,18891,18684,18537
training_sensation_10_prefix_sd_entropy,3,3,19906,19712,19506,19310,19129,18937,18717,18529,18336
training_sensation_10_prefix_sd_random,1,3,6,5,5,5,4,5,4,4,4
training_sensation_10_prefix_sd_random,2,3,6,5,4,4,4,4,4,4,4
training_sensation_10_prefix_sd_random,3,3,6,4,5,5,4,4,4,4,4
training_sensation_10_prefix_sds2_coreset,1,3,20321,20316,20323,20343,20333,20294,20339,20356,20372
training_sensation_10_prefix_sds2_coreset,2,4,20446,20459,20468,20542,20480,20565,20500,20480,20506
training_sensation_10_prefix_sds2_coreset,3,3,20213,20229,20209,20191,20249,20258,20217,20212,20246
training_sensation_10_prefix_sds2_entropy,1,4,20033,19808,19452,19286,19076,18875,18712,18477,18277
training_sensation_10_prefix_sds2_entropy,2,3,19927,19743,19568,19411,19089,18971,18755,18548,18389
training_sensation_10_prefix_sds2_entropy,3,3,19913,19731,19517,19301,19124,18911,18715,18505,18307
training_sensation_10_prefix_sds2_random,1,3,6,5,3,3,3,3,3,3,3
training_sensation_10_prefix_sds2_random,2,3,6,4,3,3,3,3,3,3,2
training_sensation_10_prefix_sds2_random,3,3,7,5,3,3,3,3,3,3,3
