experiment,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
tuning_trec_der_a0.1_b0.75_r0.01,14043,26989,27084,27221,27015,26991,26975,27035,27016,26996
tuning_trec_der_a0.1_b0.75_r0.02,14052,27033,39859,39942,39875,39833,39858,39872,39878,39835
tuning_trec_der_a0.1_b1_r0.01,14009,27051,27143,27289,27107,27074,27016,27087,27539,27013
tuning_trec_der_a0.1_b1_r0.02,14092,27079,40027,40085,40010,39965,39912,39943,39946,39917
tuning_trec_der_a0.25_b0.75_r0.01,14069,27054,27129,27243,27042,26995,26954,27051,27019,26985
tuning_trec_der_a0.25_b0.75_r0.02,14046,26998,39881,39855,39839,39833,39832,39917,39885,39896
tuning_trec_der_a0.25_b1_r0.01,14059,27023,27132,27295,27080,27029,26996,27101,27067,27038
tuning_trec_der_a0.25_b1_r0.02,14048,27041,39913,39938,39885,39836,39858,39905,39933,39925
tuning_trec_der_a0.5_b0.75_r0.01,14043,26964,27088,27197,26986,26930,26988,27016,27001,26992
tuning_trec_der_a0.5_b0.75_r0.02,14046,26999,39940,39907,39845,39893,39856,39923,39965,39947
tuning_trec_der_a0.5_b1_r0.01,14065,27058,27172,27244,27068,27030,27013,27119,27027,27032
tuning_trec_der_a0.5_b1_r0.02,14028,26994,39905,39875,40353,39840,39808,39975,39862,39892
tuning_trec_der_a0.75_b0.75_r0.01,14075,27016,27131,27269,27119,27031,27056,27103,27082,27052
tuning_trec_der_a0.75_b0.75_r0.02,14042,26977,39992,40047,39986,39893,39862,39925,39911,39936
tuning_trec_der_a0.75_b1_r0.01,14033,27004,27091,27258,27014,27040,26992,27061,27040,27005
tuning_trec_der_a0.75_b1_r0.02,14057,27073,39928,39976,39871,39857,39876,39965,39914,40003
tuning_trec_sd_a0.1_r0.01,14042,27044,27162,27282,27109,27052,27039,27102,27070,27079
tuning_trec_sd_a0.1_r0.02,14099,27059,39918,39947,39928,39874,39860,39977,39920,39900
tuning_trec_sd_a0.25_r0.01,14065,27038,27134,27276,27062,27013,27022,27044,27051,27040
tuning_trec_sd_a0.25_r0.02,14100,27041,39888,39968,39907,39872,39905,39935,39970,39932
tuning_trec_sd_a0.5_r0.01,14085,27058,27129,27281,27062,27001,27017,27124,27053,26987
tuning_trec_sd_a0.5_r0.02,14067,26995,39888,39940,39854,39859,39842,39901,39881,39902
tuning_trec_sd_a0.75_r0.01,14103,27051,27130,27275,27084,27044,27032,27118,27069,27028
tuning_trec_sd_a0.75_r0.02,14072,27083,39920,40073,39931,39854,39833,39930,39893,39922
tuning_trec_sds2_a0.1_l0.1_k0.1_r0.01,14093,27338,27544,27716,27508,27426,27413,27486,27419,27400
tuning_trec_sds2_a0.1_l0.1_k0.1_r0.02,14073,27297,40510,40767,40741,40732,40723,40816,40762,40799
tuning_trec_sds2_a0.1_l0.1_k1_r0.01,14062,27336,27600,27703,27478,27460,27374,27487,27341,27440
tuning_trec_sds2_a0.1_l0.1_k1_r0.02,14072,27290,40531,40840,40756,40717,40651,40815,40699,40736
tuning_trec_sds2_a0.1_l10_k0.1_r0.01,14083,27260,27557,28051,27451,27365,27288,27412,27404,27401
tuning_trec_sds2_a0.1_l10_k0.1_r0.02,14079,27317,40549,40889,40786,40741,40771,40865,40808,40805
tuning_trec_sds2_a0.1_l10_k1_r0.01,14091,27339,27545,27706,27499,27407,27390,27433,27393,27378
tuning_trec_sds2_a0.1_l10_k1_r0.02,14065,27234,40456,40740,40715,40719,40648,40779,40705,40810
tuning_trec_sds2_a0.1_l1_k0.1_r0.01,14049,27298,27579,27749,27504,27489,27432,27526,27500,27453
tuning_trec_sds2_a0.1_l1_k0.1_r0.02,14104,27359,40547,40872,40757,40721,40718,40859,40731,40795
tuning_trec_sds2_a0.1_l1_k1_r0.01,14021,27204,27515,27644,27438,27396,27343,27434,27427,27416
tuning_trec_sds2_a0.1_l1_k1_r0.02,14039,27291,40564,40829,40743,40771,40751,40826,40810,40815
tuning_trec_sds2_a0.25_l0.1_k0.1_r0.01,14125,27373,27607,27723,27534,27497,27452,27512,27471,27430
tuning_trec_sds2_a0.25_l0.1_k0.1_r0.02,14101,27294,40461,40825,40719,40721,40657,40775,40729,40731
tuning_trec_sds2_a0.25_l0.1_k1_r0.01,14068,27331,27539,27653,27485,27410,27375,27492,27449,27429
tuning_trec_sds2_a0.25_l0.1_k1_r0.02,14074,27329,40560,40946,40836,40758,40710,40843,40757,40810
tuning_trec_sds2_a0.25_l10_k0.1_r0.01,14067,27331,27549,27724,27542,27479,27449,27503,27437,27409
tuning_trec_sds2_a0.25_l10_k0.1_r0.02,14092,27276,40486,40799,40696,40647,40662,40782,40677,40721
tuning_trec_sds2_a0.25_l10_k1_r0.01,14066,27302,27531,27692,27475,27409,27370,27476,27407,27440
tuning_trec_sds2_a0.25_l10_k1_r0.02,14085,27357,40586,40900,40755,40720,40713,40812,40694,40750
tuning_trec_sds2_a0.25_l1_k0.1_r0.01,14075,27242,27491,27698,27433,27460,27409,27483,27427,27400
tuning_trec_sds2_a0.25_l1_k0.1_r0.02,14055,27232,40448,40784,40723,40758,40714,40819,40776,40813
tuning_trec_sds2_a0.25_l1_k1_r0.01,14105,27387,27635,27777,27510,27484,27397,27528,27499,27412
tuning_trec_sds2_a0.25_l1_k1_r0.02,14065,27291,40498,40779,40723,40712,40674,40797,40665,40792
tuning_trec_sds2_a0.5_l0.1_k0.1_r0.01,14076,27268,27530,27684,27491,27436,27350,27482,27394,27406
tuning_trec_sds2_a0.5_l0.1_k0.1_r0.02,14140,27408,40576,40935,40839,40864,40761,40872,40798,40839
tuning_trec_sds2_a0.5_l0.1_k1_r0.01,14103,27313,27552,27695,27478,27374,27346,27460,27432,27381
tuning_trec_sds2_a0.5_l0.1_k1_r0.02,14088,27249,40433,40773,40714,40704,40652,40782,40650,40805
tuning_trec_sds2_a0.5_l10_k0.1_r0.01,14075,27299,27542,27704,27489,27315,27446,27506,27443,27410
tuning_trec_sds2_a0.5_l10_k0.1_r0.02,14097,27297,40505,40836,40747,40708,40692,40800,40694,40787
tuning_trec_sds2_a0.5_l10_k1_r0.01,14081,27287,27550,27684,27532,27444,27419,27497,27438,27449
