experiment,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
tuning_trec_sds2_a0.5_l1_k0.1_r0.02,4,22852,22683,22463,22202,22009,21795,21480,21293,21015
tuning_trec_sds2_a0.5_l1_k1_r0.01,4,22910,22695,22458,22230,21998,21754,21576,21305,21078
tuning_trec_sds2_a0.5_l1_k1_r0.02,4,22903,22659,22516,22250,22006,21777,21478,21316,21014
tuning_trec_sds2_a0.75_l0.1_k0.1_r0.01,4,22853,22632,22419,22206,22002,21804,21590,21325,21136
tuning_trec_sds2_a0.75_l0.1_k0.1_r0.02,4,22882,22708,22473,22257,21999,21810,21506,21328,21016
tuning_trec_sds2_a0.75_l0.1_k1_r0.01,4,22866,22669,22434,22211,22065,21741,21541,21318,21102
tuning_trec_sds2_a0.75_l0.1_k1_r0.02,4,22939,22630,22530,22249,22026,21758,21496,21321,21071
tuning_trec_sds2_a0.75_l10_k0.1_r0.01,4,22896,22794,22493,22228,22005,21823,21584,21318,21121
tuning_trec_sds2_a0.75_l10_k0.1_r0.02,4,22852,22696,22492,22212,22018,21850,21497,21312,21087
tuning_trec_sds2_a0.75_l10_k1_r0.01,4,22858,22631,22426,22226,21962,21779,21580,21287,21096
tuning_trec_sds2_a0.75_l10_k1_r0.02,4,22880,22776,22502,22249,22011,21890,21611,21372,21164
tuning_trec_sds2_a0.75_l1_k0.1_r0.01,6,22885,22656,22469,22244,22024,21751,21501,21283,21100
tuning_trec_sds2_a0.75_l1_k0.1_r0.02,4,22875,22673,22457,22289,21961,21776,21487,21326,21103
tuning_trec_sds2_a0.75_l1_k1_r0.01,4,22942,22682,22421,22229,22019,21757,21584,21301,21087
tuning_trec_sds2_a0.75_l1_k1_r0.02,4,22945,22749,22483,22224,21977,21775,21506,21318,21005
