experiment,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9
tuning_sensation_sds2_a0.25_l10_k0.1_r0.02,0.49582,0.52422,0.52407,0.521,0.54155,0.60714,0.58441,0.60391,0.60714,0.60517
tuning_sensation_sds2_a0.25_l10_k1_r0.01,0.49582,0.51538,0.52127,0.55361,0.54092,0.54352,0.54134,0.5351,0.54898,0.56891
tuning_sensation_sds2_a0.25_l10_k1_r0.02,0.49582,0.51538,0.51846,0.54379,0.5661,0.56111,0.55045,0.57921,0.5943,0.59023
tuning_sensation_sds2_a0.25_l1_k0.1_r0.01,0.49582,0.50815,0.50711,0.52942,0.50346,0.52079,0.54295,0.52001,0.5299,0.54077
tuning_sensation_sds2_a0.25_l1_k0.1_r0.02,0.49582,0.50815,0.51081,0.53208,0.56813,0.579,0.58763,0.61541,0.60027,0.59205
tuning_sensation_sds2_a0.25_l1_k1_r0.01,0.49582,0.50358,0.52288,0.50941,0.55164,0.54624,0.58082,0.56834,0.57984,0.59773
tuning_sensation_sds2_a0.25_l1_k1_r0.02,0.49582,0.50358,0.50463,0.51586,0.58462,0.54358,0.5675,0.58868,0.56876,0.59689
tuning_sensation_sds2_a0.5_l0.1_k0.1_r0.01,0.49582,0.49875,0.49677,0.54665,0.5879,0.58545,0.61323,0.62572,0.61484,0.62151
tuning_sensation_sds2_a0.5_l0.1_k0.1_r0.02,0.49582,0.49875,0.50239,0.54582,0.60012,0.64839,0.63871,0.66888,0.63148,0.64328
tuning_sensation_sds2_a0.5_l0.1_k1_r0.01,0.49582,0.50941,0.50576,0.53053,0.54519,0.59128,0.60096,0.61729,0.61246,0.63372
tuning_sensation_sds2_a0.5_l0.1_k1_r0.02,0.49582,0.50941,0.53572,0.59788,0.61493,0.61353,0.60786,0.63548,0.65254,0.62419
tuning_sensation_sds2_a0.5_l10_k0.1_r0.01,0.49582,0.51783,0.50597,0.52407,0.52401,0.54743,0.56777,0.579,0.55809,0.56174
tuning_sensation_sds2_a0.5_l10_k0.1_r0.02,0.49582,0.51783,0.50338,0.54301,0.56293,0.59689,0.58405,0.5802,0.56756,0.58686
tuning_sensation_sds2_a0.5_l10_k1_r0.01,0.49582,0.51756,0.52351,0.59507,0.5957,0.56132,0.6032,0.55992,0.606,0.602
tuning_sensation_sds2_a0.5_l10_k1_r0.02,0.49582,0.51756,0.51789,0.55445,0.56918,0.59731,0.602,0.6046,0.61667,0.61885
tuning_sensation_sds2_a0.5_l1_k0.1_r0.01,0.49582,0.52085,0.5132,0.55167,0.54134,0.54098,0.54498,0.58041,0.56953,0.57879
tuning_sensation_sds2_a0.5_l1_k0.1_r0.02,0.49582,0.52085,0.51243,0.52954,0.56918,0.53453,0.56027,0.56111,0.5259,0.53193
tuning_sensation_sds2_a0.5_l1_k1_r0.01,0.49582,0.50618,0.50926,0.50463,0.5374,0.51622,0.56365,0.57578,0.57718,0.52351
tuning_sensation_sds2_a0.5_l1_k1_r0.02,0.49582,0.50618,0.50926,0.50457,0.50421,0.51726,0.54322,0.53999,0.57682,0.60902
tuning_sensation_sds2_a0.75_l0.1_k0.1_r0.01,0.49582,0.50884,0.5,0.52112,0.50421,0.52351,0.52996,0.59337,0.62031,0.62593
tuning_sensation_sds2_a0.75_l0.1_k0.1_r0.02,0.49582,0.50884,0.5,0.53978,0.55382,0.56912,0.5621,0.60454,0.59388,0.59788
tuning_sensation_sds2_a0.75_l0.1_k1_r0.01,0.49582,0.5052,0.5,0.49657,0.51045,0.52168,0.606,0.62395,0.58229,0.59092
tuning_sensation_sds2_a0.75_l0.1_k1_r0.02,0.49582,0.5052,0.5,0.5,0.53136,0.60376,0.6112,0.62145,0.59191,0.60699
tuning_sensation_sds2_a0.75_l10_k0.1_r0.01,0.49582,0.49895,0.50302,0.51228,0.50302,0.50884,0.54041,0.52392,0.57724,0.57802
tuning_sensation_sds2_a0.75_l10_k0.1_r0.02,0.49582,0.49895,0.50463,0.49391,0.55185,0.58987,0.58889,0.58369,0.59716,0.61308
tuning_sensation_sds2_a0.75_l10_k1_r0.01,0.49582,0.50358,0.50114,0.50078,0.52933,0.60152,0.59128,0.58623,0.61646,0.58608
tuning_sensation_sds2_a0.75_l10_k1_r0.02,0.49582,0.50358,0.50119,0.5167,0.5052,0.52793,0.54967,0.57682,0.57963,0.56756
tuning_sensation_sds2_a0.75_l1_k0.1_r0.01,0.49582,0.50702,0.49839,0.50926,0.55866,0.55206,0.58405,0.60299,0.57766,0.60642
tuning_sensation_sds2_a0.75_l1_k0.1_r0.02,0.49582,0.50702,0.5,0.50765,0.61484,0.61105,0.61162,0.64277,0.6293,0.6178
tuning_sensation_sds2_a0.75_l1_k1_r0.01,0.49582,0.50541,0.53053,0.51368,0.51024,0.57443,0.56314,0.57142,0.59232,0.59232
tuning_sensation_sds2_a0.75_l1_k1_r0.02,0.49582,0.50541,0.52028,0.54842,0.58363,0.59886,0.64537,0.64719,0.63955,0.63554
