experiment,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9
tuning_sensation_der_a0.1_b0.75_r0.01,0.40431,0.71531,0.74163,0.72249,0.6866,0.69378,0.72249,0.72967,0.7177,0.75598
tuning_sensation_der_a0.1_b0.75_r0.02,0.40431,0.71531,0.74402,0.73684,0.74163,0.76555,0.75359,0.74163,0.7799,0.76555
tuning_sensation_der_a0.1_b1_r0.01,0.40431,0.69617,0.74163,0.73923,0.66986,0.68421,0.66029,0.72488,0.71531,0.7177
tuning_sensation_der_a0.1_b1_r0.02,0.40431,0.69617,0.74402,0.65311,0.6555,0.69617,0.7177,0.73206,0.71292,0.70574
tuning_sensation_der_a0.25_b0.75_r0.01,0.40431,0.69617,0.70813,0.72967,0.67703,0.7201,0.7201,0.74163,0.75837,0.76555
tuning_sensation_der_a0.25_b0.75_r0.02,0.40431,0.69617,0.7177,0.69139,0.7201,0.75837,0.7488,0.7488,0.75359,0.73445
tuning_sensation_der_a0.25_b1_r0.01,0.40431,0.70335,0.74402,0.73445,0.70813,0.689,0.69856,0.74163,0.69856,0.74163
tuning_sensation_der_a0.25_b1_r0.02,0.40431,0.70335,0.74163,0.74402,0.74163,0.74402,0.75598,0.75837,0.76794,0.76555
tuning_sensation_der_a0.5_b0.75_r0.01,0.40431,0.69139,0.72249,0.74163,0.72488,0.74641,0.72249,0.7512,0.76794,0.72967
tuning_sensation_der_a0.5_b0.75_r0.02,0.40431,0.69139,0.74641,0.7488,0.75359,0.74641,0.7488,0.74163,0.72249,0.7512
tuning_sensation_der_a0.5_b1_r0.01,0.40431,0.68421,0.71053,0.7201,0.71053,0.71531,0.72249,0.76316,0.72488,0.76794
tuning_sensation_der_a0.5_b1_r0.02,0.40431,0.68421,0.73684,0.74163,0.74163,0.75598,0.77273,0.75359,0.76555,0.76316
tuning_sensation_der_a0.75_b0.75_r0.01,0.40431,0.6866,0.74163,0.74163,0.67943,0.72249,0.74402,0.72727,0.75837,0.77273
tuning_sensation_der_a0.75_b0.75_r0.02,0.40431,0.6866,0.74402,0.74163,0.73684,0.74163,0.7512,0.76077,0.76077,0.76077
tuning_sensation_der_a0.75_b1_r0.01,0.40431,0.67943,0.70096,0.7488,0.73445,0.75359,0.72727,0.74163,0.76555,0.77512
tuning_sensation_der_a0.75_b1_r0.02,0.40431,0.67943,0.70096,0.70096,0.72967,0.69856,0.70813,0.71531,0.76316,0.7512
tuning_sensation_sd_a0.1_r0.01,0.40431,0.7177,0.6866,0.69378,0.72249,0.69856,0.68421,0.72488,0.73206,0.72488
tuning_sensation_sd_a0.1_r0.02,0.40431,0.7177,0.70335,0.66507,0.71053,0.74402,0.72488,0.73923,0.74641,0.73206
tuning_sensation_sd_a0.25_r0.01,0.40431,0.72249,0.7201,0.7201,0.71053,0.73923,0.73684,0.75598,0.7488,0.7512
tuning_sensation_sd_a0.25_r0.02,0.40431,0.72249,0.72967,0.69856,0.6866,0.72967,0.69617,0.66268,0.70096,0.70574
tuning_sensation_sd_a0.5_r0.01,0.40431,0.7177,0.74402,0.72488,0.67703,0.67225,0.66746,0.65311,0.7177,0.69856
tuning_sensation_sd_a0.5_r0.02,0.40431,0.7177,0.74402,0.70813,0.67703,0.72249,0.70335,0.71292,0.71292,0.73684
tuning_sensation_sd_a0.75_r0.01,0.40431,0.73684,0.74163,0.74163,0.67943,0.7512,0.7512,0.74402,0.75359,0.76316
tuning_sensation_sd_a0.75_r0.02,0.40431,0.73684,0.74163,0.74163,0.74402,0.76077,0.76316,0.76794,0.75837,0.77033
tuning_sensation_sds2_a0.1_l0.1_k0.1_r0.01,0.40431,0.72727,0.71531,0.69856,0.63636,0.6866,0.64354,0.63158,0.67464,0.66507
tuning_sensation_sds2_a0.1_l0.1_k0.1_r0.02,0.40431,0.72727,0.7201,0.64593,0.70813,0.70813,0.71531,0.74402,0.73206,0.72249
tuning_sensation_sds2_a0.1_l0.1_k1_r0.01,0.40431,0.69617,0.69378,0.70574,0.67225,0.70574,0.71053,0.7201,0.7488,0.75598
tuning_sensation_sds2_a0.1_l0.1_k1_r0.02,0.40431,0.69617,0.7201,0.6866,0.71531,0.72488,0.71531,0.7201,0.70096,0.70813
tuning_sensation_sds2_a0.1_l10_k0.1_r0.01,0.40431,0.63158,0.66268,0.66029,0.689,0.70335,0.69378,0.69378,0.72727,0.72967
tuning_sensation_sds2_a0.1_l10_k0.1_r0.02,0.40431,0.63158,0.65311,0.68182,0.6866,0.69617,0.70574,0.73445,0.73923,0.7177
tuning_sensation_sds2_a0.1_l10_k1_r0.01,0.40431,0.67703,0.69378,0.66029,0.65072,0.65072,0.63876,0.66507,0.67943,0.70335
tuning_sensation_sds2_a0.1_l10_k1_r0.02,0.40431,0.67703,0.67464,0.64115,0.64833,0.66268,0.69378,0.689,0.67464,0.69139
tuning_sensation_sds2_a0.1_l1_k0.1_r0.01,0.40431,0.67943,0.67703,0.66029,0.66746,0.67225,0.69378,0.67943,0.67225,0.689
tuning_sensation_sds2_a0.1_l1_k0.1_r0.02,0.40431,0.67943,0.69617,0.6866,0.70813,0.70574,0.72727,0.74641,0.73923,0.74163
tuning_sensation_sds2_a0.1_l1_k1_r0.01,0.40431,0.70813,0.7201,0.689,0.69617,0.70813,0.69139,0.72488,0.75598,0.75598
tuning_sensation_sds2_a0.1_l1_k1_r0.02,0.40431,0.70813,0.70813,0.69617,0.69378,0.70335,0.69378,0.70096,0.71292,0.73445
