experiment,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9
tuning_sensation_der_a0.1_b0.75_r0.01,0.49624,0.53468,0.62139,0.47719,0.53109,0.59866,0.6214,0.64916,0.62303,0.68512
tuning_sensation_der_a0.1_b0.75_r0.02,0.49624,0.53468,0.8717,0.49577,0.62753,0.69682,0.66583,0.64941,0.71544,0.68787
tuning_sensation_der_a0.1_b1_r0.01,0.49624,0.48374,0.62198,0.62513,0.56255,0.55666,0.5636,0.6404,0.63513,0.63881
tuning_sensation_der_a0.1_b1_r0.02,0.49624,0.48374,0.63935,0.54115,0.56206,0.59729,0.62155,0.64684,0.61783,0.61689
tuning_sensation_der_a0.25_b0.75_r0.01,0.49624,0.5055,0.56111,0.62166,0.6137,0.61842,0.61991,0.6512,0.67494,0.68936
tuning_sensation_der_a0.25_b0.75_r0.02,0.49624,0.5055,0.60038,0.60546,0.60207,0.67576,0.65882,0.6541,0.66562,0.64279
tuning_sensation_der_a0.25_b1_r0.01,0.49624,0.50345,0.8717,0.56515,0.6095,0.58246,0.5941,0.65781,0.62839,0.66083
tuning_sensation_der_a0.25_b1_r0.02,0.49624,0.50345,0.37081,0.67288,0.62198,0.63908,0.67045,0.67731,0.69365,0.68878
tuning_sensation_der_a0.5_b0.75_r0.01,0.49624,0.51549,0.49565,0.62377,0.58066,0.64775,0.61396,0.66012,0.69902,0.63319
tuning_sensation_der_a0.5_b0.75_r0.02,0.49624,0.51549,0.74819,0.70864,0.80448,0.8726,0.65547,0.64941,0.64335,0.66547
tuning_sensation_der_a0.5_b1_r0.01,0.49624,0.51114,0.58151,0.59627,0.61529,0.61735,0.62979,0.68464,0.63777,0.69494
tuning_sensation_der_a0.5_b1_r0.02,0.49624,0.51114,0.58149,0.62198,0.65211,0.67063,0.70716,0.66799,0.68971,0.68379
tuning_sensation_der_a0.75_b0.75_r0.01,0.49624,0.4922,0.37081,0.62562,0.58772,0.5869,0.63965,0.62079,0.67505,0.71018
tuning_sensation_der_a0.75_b0.75_r0.02,0.49624,0.4922,0.8717,0.37081,0.63133,0.63015,0.65995,0.68127,0.67943,0.68266
tuning_sensation_der_a0.75_b1_r0.01,0.49624,0.52652,0.53424,0.67717,0.62706,0.66776,0.61938,0.64347,0.69402,0.70814
tuning_sensation_der_a0.75_b1_r0.02,0.49624,0.52652,0.51306,0.56833,0.61889,0.58826,0.59137,0.61265,0.68405,0.66885
tuning_sensation_sd_a0.1_r0.01,0.49624,0.50758,0.53479,0.59308,0.61995,0.58203,0.60836,0.63908,0.65162,0.63908
tuning_sensation_sd_a0.1_r0.02,0.49624,0.50758,0.55702,0.58004,0.63375,0.6562,0.63777,0.64699,0.65788,0.63747
tuning_sensation_sd_a0.25_r0.01,0.49624,0.52186,0.54007,0.59827,0.58611,0.64317,0.649,0.67063,0.66273,0.66111
tuning_sensation_sd_a0.25_r0.02,0.49624,0.52186,0.57034,0.58415,0.58624,0.6145,0.57005,0.54657,0.58685,0.59996
tuning_sensation_sd_a0.5_r0.01,0.49624,0.50758,0.64454,0.59181,0.57335,0.54459,0.58588,0.57519,0.63312,0.62017
tuning_sensation_sd_a0.5_r0.02,0.49624,0.50758,0.8717,0.61762,0.55962,0.60748,0.59355,0.61148,0.6065,0.64168
tuning_sensation_sd_a0.75_r0.01,0.49624,0.58149,0.37081,0.37081,0.57117,0.67238,0.66078,0.64977,0.66776,0.68464
tuning_sensation_sd_a0.75_r0.02,0.49624,0.58149,0.37081,0.625,0.65919,0.69079,0.69006,0.70595,0.67731,0.70387
tuning_sensation_sds2_a0.1_l0.1_k0.1_r0.01,0.49624,0.49569,0.5461,0.55963,0.51119,0.57366,0.56416,0.57514,0.58764,0.59381
tuning_sensation_sds2_a0.1_l0.1_k0.1_r0.02,0.49624,0.49569,0.56169,0.52452,0.58049,0.60613,0.61889,0.64904,0.63158,0.62979
tuning_sensation_sds2_a0.1_l0.1_k1_r0.01,0.49624,0.5171,0.54018,0.55733,0.53268,0.55016,0.57387,0.58218,0.6541,0.68159
tuning_sensation_sds2_a0.1_l0.1_k1_r0.02,0.49624,0.5171,0.52433,0.5538,0.595,0.60434,0.60073,0.60207,0.58263,0.58049
tuning_sensation_sds2_a0.1_l10_k0.1_r0.01,0.49624,0.52741,0.54911,0.56136,0.59043,0.58961,0.56725,0.55932,0.62079,0.62819
tuning_sensation_sds2_a0.1_l10_k0.1_r0.02,0.49624,0.52741,0.5557,0.58783,0.60315,0.59544,0.61689,0.64279,0.64602,0.62883
tuning_sensation_sds2_a0.1_l10_k1_r0.01,0.49624,0.50746,0.56725,0.54452,0.56716,0.57962,0.56513,0.58603,0.5991,0.60097
tuning_sensation_sds2_a0.1_l10_k1_r0.02,0.49624,0.50746,0.55979,0.57514,0.56108,0.5782,0.60405,0.58651,0.57551,0.60546
tuning_sensation_sds2_a0.1_l1_k0.1_r0.01,0.49624,0.51457,0.5239,0.55443,0.54286,0.54176,0.5535,0.56192,0.57345,0.58038
tuning_sensation_sds2_a0.1_l1_k0.1_r0.02,0.49624,0.51457,0.56225,0.55922,0.57557,0.58191,0.62354,0.65029,0.64036,0.64429
tuning_sensation_sds2_a0.1_l1_k1_r0.01,0.49624,0.48528,0.54007,0.5261,0.5434,0.60087,0.59643,0.63118,0.67063,0.67143
tuning_sensation_sds2_a0.1_l1_k1_r0.02,0.49624,0.48528,0.50447,0.53152,0.53241,0.5715,0.5647,0.57343,0.60124,0.63837
tuning_sensation_sds2_a0.25_l0.1_k0.1_r0.01,0.49624,0.49573,0.53859,0.65919,0.58483,0.57328,0.56948,0.60297,0.60526,0.61938
tuning_sensation_sds2_a0.25_l0.1_k0.1_r0.02,0.49624,0.49573,0.37081,0.49577,0.58661,0.5568,0.6145,0.61794,0.6108,0.60575
tuning_sensation_sds2_a0.25_l0.1_k1_r0.01,0.49624,0.52135,0.51863,0.52581,0.59826,0.59693,0.56431,0.5272,0.55445,0.55772
tuning_sensation_sds2_a0.25_l0.1_k1_r0.02,0.49624,0.52135,0.4956,0.59693,0.62178,0.64161,0.66078,0.65826,0.64894,0.63144
tuning_sensation_sds2_a0.25_l10_k0.1_r0.01,0.49624,0.53186,0.52149,0.53032,0.5261,0.60093,0.55367,0.58724,0.57366,0.60097
tuning_sensation_sds2_a0.25_l10_k0.1_r0.02,0.49624,0.53186,0.54622,0.52705,0.55646,0.6128,0.59814,0.60794,0.6128,0.63277
tuning_sensation_sds2_a0.25_l10_k1_r0.01,0.49624,0.52273,0.54606,0.56703,0.54927,0.54821,0.5538,0.54568,0.56184,0.58151
tuning_sensation_sds2_a0.25_l10_k1_r0.02,0.49624,0.52273,0.5461,0.57021,0.58263,0.60248,0.59179,0.61277,0.62023,0.59845
tuning_sensation_sds2_a0.25_l1_k0.1_r0.01,0.49624,0.51411,0.50945,0.53234,0.50417,0.52574,0.55649,0.5292,0.55014,0.56733
tuning_sensation_sds2_a0.25_l1_k0.1_r0.02,0.49624,0.51411,0.52931,0.54264,0.59364,0.60736,0.60366,0.62985,0.59795,0.6044
