experiment,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
tuning_trec_der_adapter_c16,4,22915,22721,22493,22395,22018,21863,21571,21361,21114
tuning_trec_der_adapter_c8,4,23128,23027,22679,22502,22261,22028,21788,21541,21460
tuning_trec_der_lora_r4_a16,4,23281,23131,22870,22663,22418,22235,21934,21747,21514
tuning_trec_der_lora_r4_a8,4,23554,23293,23046,22855,22679,22399,22126,21888,21676
tuning_trec_der_lora_r8_a16,4,23336,23125,22873,22658,22418,22168,21936,21694,21530
tuning_trec_der_lora_r8_a8,4,23325,23132,22932,22676,22467,22204,21962,21711,21552
tuning_trec_der_prefix_p10,6,25114,24723,24467,24214,23979,23734,23470,23233,22985
tuning_trec_der_prefix_p20,4,26455,26019,25779,25480,25170,24928,24720,24443,24157
tuning_trec_sd_adapter_c16,4,23130,22937,22721,22460,22233,21962,21811,21502,21298
tuning_trec_sd_adapter_c8,4,23205,23057,22841,22598,22397,22154,21942,21721,21587
tuning_trec_sd_lora_r4_a16,4,22939,22746,22486,22355,22043,21769,21549,21418,21063
tuning_trec_sd_lora_r4_a8,4,22883,22736,22398,22184,21973,21774,21535,21289,21020
tuning_trec_sd_lora_r8_a16,4,22838,22698,22396,22218,21950,21755,21482,21296,21035
tuning_trec_sd_lora_r8_a8,4,22864,22668,22462,22209,22019,21805,21542,21267,21107
tuning_trec_sd_prefix_p10,6,25242,24844,24590,24345,24072,23839,23615,23370,23069
tuning_trec_sd_prefix_p20,4,26400,25935,25679,25459,25179,24932,24657,24388,24131
tuning_trec_sds2_adapter_c16,4,23029,22851,22763,22417,22169,21983,21759,21456,21307
tuning_trec_sds2_adapter_c8,4,23422,23213,22972,22780,22563,22283,22122,21828,21634
tuning_trec_sds2_lora_r4_a16,4,23525,23273,23034,22835,22625,22345,22154,21847,21733
tuning_trec_sds2_lora_r4_a8,4,23603,23369,23103,22890,22861,22461,22217,21930,21723
tuning_trec_sds2_lora_r8_a16,4,23409,23212,23076,22767,22578,22325,22114,21808,21641
tuning_trec_sds2_lora_r8_a8,4,23379,23214,22959,22749,22452,22222,22135,21823,21652
tuning_trec_sds2_prefix_p10,7,25067,24672,24429,24238,24043,23696,23480,23183,22940
tuning_trec_sds2_prefix_p20,4,26484,26061,25786,25509,25270,25000,24739,24424,24145
