experiment,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
tuning_agnews_der_a0.1_b0.75_r0.01,16791,32229,32248,32261,32236,32173,32143,32342,32302,32283
tuning_agnews_der_a0.1_b0.75_r0.02,16873,32472,47878,47859,47810,47788,47785,47893,47912,47934
tuning_agnews_der_a0.1_b1_r0.01,16981,32514,32509,32395,32368,32307,32259,32374,32374,32435
tuning_agnews_der_a0.1_b1_r0.02,17088,32756,48195,48026,48001,47883,47817,47923,47870,47925
tuning_agnews_der_a0.25_b0.75_r0.01,17047,32747,32697,32569,32513,32439,32362,32454,32418,32404
tuning_agnews_der_a0.25_b0.75_r0.02,17045,32697,47977,47812,47873,47874,47808,47934,47920,47933
tuning_agnews_der_a0.25_b1_r0.01,17093,32757,32775,32620,32459,32578,32475,32505,32437,32415
tuning_agnews_der_a0.25_b1_r0.02,17046,32754,48178,47993,47903,47861,47831,47926,47891,47907
tuning_agnews_der_a0.5_b0.75_r0.01,17036,32677,32658,32582,32504,32504,32394,32449,32441,32430
tuning_agnews_der_a0.5_b0.75_r0.02,17084,32770,48196,48100,48014,47905,47863,47923,47865,47900
tuning_agnews_der_a0.5_b1_r0.01,17063,32671,32641,32603,32512,32364,32382,32415,32374,32349
tuning_agnews_der_a0.5_b1_r0.02,17005,32663,48092,47967,47917,47963,47938,48076,48002,48027
tuning_agnews_der_a0.75_b0.75_r0.01,17017,32679,32688,32539,32451,32394,32315,32382,32420,32413
tuning_agnews_der_a0.75_b0.75_r0.02,16992,32692,48067,47880,47787,47802,47782,47905,47873,47936
tuning_agnews_der_a0.75_b1_r0.01,17053,32711,32750,32626,32625,32528,32440,32492,32446,32428
tuning_agnews_der_a0.75_b1_r0.02,17013,32709,48199,47972,48003,47896,47870,47892,47916,47881
tuning_agnews_sd_a0.1_r0.01,17009,32720,32634,32579,32480,32476,32341,32446,32454,32384
tuning_agnews_sd_a0.1_r0.02,16757,32112,47824,47750,47716,47801,47797,47897,47855,47846
tuning_agnews_sd_a0.25_r0.01,16721,32409,32401,32301,32301,32229,32239,32339,32377,32314
tuning_agnews_sd_a0.25_r0.02,16966,32574,47918,47957,47845,47843,47833,47998,47956,48029
tuning_agnews_sd_a0.5_r0.01,17025,32629,32582,32839,32381,32283,32286,32355,32288,32346
tuning_agnews_sd_a0.5_r0.02,17101,32650,47966,47866,47833,47837,47812,47877,47920,47880
tuning_agnews_sd_a0.75_r0.01,16995,32627,32633,32525,32451,32401,32293,32378,32407,32385
tuning_agnews_sd_a0.75_r0.02,17054,32705,48008,47797,47792,47791,47752,47823,47860,47838
tuning_agnews_sds2_a0.1_l0.1_k0.1_r0.01,17022,32935,32704,32710,32771,32766,32722,32825,32850,32915
tuning_agnews_sds2_a0.1_l0.1_k0.1_r0.02,16931,32943,48692,48974,48834,48869,48831,48939,48932,48943
tuning_agnews_sds2_a0.1_l0.1_k1_r0.01,16809,32828,33058,32950,32824,32775,32750,32824,32860,32869
tuning_agnews_sds2_a0.1_l0.1_k1_r0.02,16875,32819,48765,48975,48935,48977,48921,48973,49009,48963
tuning_agnews_sds2_a0.1_l10_k0.1_r0.01,16903,32886,33129,33083,32941,32879,32835,32921,32884,32887
tuning_agnews_sds2_a0.1_l10_k0.1_r0.02,16934,32926,48734,49029,48885,48844,48926,49021,48976,49001
tuning_agnews_sds2_a0.1_l10_k1_r0.01,16950,32935,33220,33200,33071,32952,32891,32929,32940,32941
tuning_agnews_sds2_a0.1_l10_k1_r0.02,16950,32958,48795,49054,48850,48823,48830,48961,48892,48927
tuning_agnews_sds2_a0.1_l1_k0.1_r0.01,16962,32919,33147,33142,32992,32899,32906,32931,32939,32909
tuning_agnews_sds2_a0.1_l1_k0.1_r0.02,17021,32951,48806,49183,48963,48913,48872,48953,48938,48960
tuning_agnews_sds2_a0.1_l1_k1_r0.01,16994,32904,33146,33083,32809,32891,32806,32893,32900,32896
tuning_agnews_sds2_a0.1_l1_k1_r0.02,16988,32865,48674,49101,49020,48946,48962,49030,48961,48973
tuning_agnews_sds2_a0.25_l0.1_k0.1_r0.01,16990,32914,33168,33114,32995,32853,32847,32927,32913,32948
tuning_agnews_sds2_a0.25_l0.1_k0.1_r0.02,16977,32850,48671,48884,48797,48871,48826,48955,48944,48955
tuning_agnews_sds2_a0.25_l0.1_k1_r0.01,17026,32970,33248,33136,33035,32942,32917,32978,32901,32904
tuning_agnews_sds2_a0.25_l0.1_k1_r0.02,17006,32842,48625,48859,48819,48890,48830,48943,48924,48936
tuning_agnews_sds2_a0.25_l10_k0.1_r0.01,16998,32898,33142,33137,32970,32966,32869,32975,32907,32990
tuning_agnews_sds2_a0.25_l10_k0.1_r0.02,16965,32948,48841,49069,48956,48888,48839,48956,48939,48955
tuning_agnews_sds2_a0.25_l10_k1_r0.01,16972,32862,33088,33027,32940,32820,32788,32873,32825,32888
tuning_agnews_sds2_a0.25_l10_k1_r0.02,16950,32917,48624,49030,48883,48968,48929,49035,49018,48996
tuning_agnews_sds2_a0.25_l1_k0.1_r0.01,16957,32911,33202,33132,32984,32866,32847,32933,32919,32959
tuning_agnews_sds2_a0.25_l1_k0.1_r0.02,16945,32919,48724,48942,48926,48878,48830,49153,48951,48978
tuning_agnews_sds2_a0.25_l1_k1_r0.01,16990,32937,33197,33171,33058,32969,32925,32970,32932,32929
tuning_agnews_sds2_a0.25_l1_k1_r0.02,16890,32920,48783,48996,48859,48900,48860,48972,48920,48954
tuning_agnews_sds2_a0.5_l0.1_k0.1_r0.01,16965,32881,33157,33107,32962,32867,32851,32922,32831,32958
tuning_agnews_sds2_a0.5_l0.1_k0.1_r0.02,16951,32919,48913,49244,49036,48977,48867,48961,48934,48936
tuning_agnews_sds2_a0.5_l0.1_k1_r0.01,16911,32841,33079,33080,32917,32857,32802,32907,32894,32918
tuning_agnews_sds2_a0.5_l0.1_k1_r0.02,16924,32874,48735,48999,48867,48948,48863,48977,48985,48983
tuning_agnews_sds2_a0.5_l10_k0.1_r0.01,16985,33043,33235,33221,33098,32966,32918,32970,32903,32939
tuning_agnews_sds2_a0.5_l10_k0.1_r0.02,16914,32887,48700,49003,48922,48928,48846,48926,48952,48970
tuning_agnews_sds2_a0.5_l10_k1_r0.01,16930,32844,33164,33117,32980,32842,32816,32947,32825,32932
tuning_agnews_sds2_a0.5_l10_k1_r0.02,16918,32892,48832,49126,48978,49028,49032,49042,48978,48969
tuning_agnews_sds2_a0.5_l1_k0.1_r0.01,16943,32906,33204,33159,33065,32885,32855,32959,32898,32896
tuning_agnews_sds2_a0.5_l1_k0.1_r0.02,16926,32877,48780,49035,48853,48852,48825,48936,48925,48942
tuning_agnews_sds2_a0.5_l1_k1_r0.01,16949,32907,33248,33211,33073,33018,32968,33033,32968,32931
tuning_agnews_sds2_a0.5_l1_k1_r0.02,16948,32896,48860,49082,48888,48912,48848,48944,48945,48946
tuning_agnews_sds2_a0.75_l0.1_k0.1_r0.01,16916,32856,33129,33112,33008,32857,32776,32932,32785,32901
tuning_agnews_sds2_a0.75_l0.1_k0.1_r0.02,16890,32863,48788,49165,49086,49009,48977,49064,49007,49003
tuning_agnews_sds2_a0.75_l0.1_k1_r0.01,16908,32914,33169,33174,33023,32948,32832,32990,32899,32924
tuning_agnews_sds2_a0.75_l0.1_k1_r0.02,16908,32865,48749,49003,48902,48844,48818,48927,48919,48953
