experiment,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9
tuning_trec_der_a0.1_b0.75_r0.01,0.30953,0.48743,0.69155,0.6938,0.72488,0.71146,0.73596,0.73368,0.76889,0.81751
tuning_trec_der_a0.1_b0.75_r0.02,0.30953,0.48743,0.68936,0.7293,0.73819,0.74254,0.75822,0.76041,0.77123,0.86126
tuning_trec_der_a0.1_b1_r0.01,0.30953,0.49181,0.67816,0.70471,0.75152,0.77114,0.77345,0.76915,0.8176,0.81749
tuning_trec_der_a0.1_b1_r0.02,0.30953,0.49181,0.70254,0.71819,0.7493,0.7714,0.78009,0.82643,0.88556,0.88114
tuning_trec_der_a0.25_b0.75_r0.01,0.30953,0.44959,0.68944,0.71371,0.74269,0.73585,0.73588,0.75819,0.76029,0.76921
tuning_trec_der_a0.25_b0.75_r0.02,0.30953,0.44959,0.68491,0.73588,0.72266,0.76032,0.76921,0.76927,0.84854,0.87681
tuning_trec_der_a0.25_b1_r0.01,0.30953,0.45181,0.67599,0.7381,0.7183,0.72699,0.75789,0.78032,0.77594,0.76924
tuning_trec_der_a0.25_b1_r0.02,0.30953,0.45181,0.69158,0.75146,0.73137,0.7493,0.74702,0.78038,0.83085,0.82854
tuning_trec_der_a0.5_b0.75_r0.01,0.30953,0.40506,0.61406,0.66058,0.69398,0.72693,0.74482,0.74272,0.75804,0.76912
tuning_trec_der_a0.5_b0.75_r0.02,0.30953,0.40506,0.64731,0.70699,0.71363,0.73365,0.73816,0.76041,0.75594,0.76696
tuning_trec_der_a0.5_b1_r0.01,0.30953,0.40289,0.63623,0.66026,0.7093,0.71804,0.71599,0.74269,0.75591,0.76702
tuning_trec_der_a0.5_b1_r0.02,0.30953,0.40289,0.6717,0.70263,0.69822,0.73371,0.74713,0.74497,0.74711,0.77357
tuning_trec_der_a0.75_b0.75_r0.01,0.30953,0.38936,0.5695,0.63602,0.71167,0.67363,0.72035,0.73137,0.76257,0.74263
tuning_trec_der_a0.75_b0.75_r0.02,0.30953,0.38936,0.60281,0.64921,0.69579,0.7136,0.73579,0.75377,0.76029,0.74702
tuning_trec_der_a0.75_b1_r0.01,0.30953,0.38944,0.55629,0.58699,0.66942,0.7248,0.75365,0.7338,0.76029,0.74705
tuning_trec_der_a0.75_b1_r0.02,0.30953,0.38944,0.62056,0.64702,0.68708,0.69819,0.69813,0.75816,0.76711,0.74488
tuning_trec_sd_a0.1_r0.01,0.30953,0.50956,0.68719,0.71596,0.74942,0.75602,0.77146,0.77588,0.81099,0.80877
tuning_trec_sd_a0.1_r0.02,0.30953,0.50956,0.69608,0.71599,0.74006,0.81927,0.8107,0.82822,0.85254,0.82196
tuning_trec_sd_a0.25_r0.01,0.30953,0.50959,0.66708,0.71816,0.74915,0.74254,0.76693,0.77573,0.78912,0.81535
tuning_trec_sd_a0.25_r0.02,0.30953,0.50959,0.68494,0.71819,0.74038,0.74933,0.79333,0.79553,0.80868,0.84591
tuning_trec_sd_a0.5_r0.01,0.30953,0.4852,0.66708,0.69816,0.70263,0.74041,0.77339,0.77137,0.78909,0.76246
tuning_trec_sd_a0.5_r0.02,0.30953,0.4852,0.67602,0.70708,0.72702,0.79947,0.83266,0.83711,0.88325,0.87234
tuning_trec_sd_a0.75_r0.01,0.30953,0.4652,0.58968,0.69161,0.68722,0.7248,0.72713,0.76015,0.76687,0.72471
tuning_trec_sd_a0.75_r0.02,0.30953,0.4652,0.62515,0.68482,0.71149,0.71816,0.74924,0.75143,0.76041,0.76465
tuning_trec_sds2_a0.1_l0.1_k0.1_r0.01,0.30953,0.51167,0.70266,0.73137,0.8238,0.74924,0.81982,0.87439,0.82208,0.80211
tuning_trec_sds2_a0.1_l0.1_k0.1_r0.02,0.30953,0.51167,0.70711,0.72035,0.77102,0.79749,0.82632,0.84398,0.84158,0.87468
