experiment,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9
tuning_trec_der_a0.1_b0.75_r0.01,0.30973,0.48673,0.69027,0.69248,0.72345,0.71018,0.73451,0.7323,0.7677,0.81637
tuning_trec_der_a0.1_b0.75_r0.02,0.30973,0.48673,0.68805,0.72788,0.73673,0.74115,0.75664,0.75885,0.76991,0.86062
tuning_trec_der_a0.1_b1_r0.01,0.30973,0.49115,0.67699,0.70354,0.75,0.76991,0.77212,0.7677,0.81637,0.81637
tuning_trec_der_a0.1_b1_r0.02,0.30973,0.49115,0.70133,0.71681,0.74779,0.76991,0.77876,0.82522,0.88496,0.88053
tuning_trec_der_a0.25_b0.75_r0.01,0.30973,0.44912,0.68805,0.71239,0.74115,0.73451,0.73451,0.75664,0.75885,0.7677
tuning_trec_der_a0.25_b0.75_r0.02,0.30973,0.44912,0.68363,0.73451,0.72124,0.75885,0.7677,0.7677,0.84735,0.87611
tuning_trec_der_a0.25_b1_r0.01,0.30973,0.45133,0.67478,0.73673,0.71681,0.72566,0.75664,0.77876,0.77434,0.7677
tuning_trec_der_a0.25_b1_r0.02,0.30973,0.45133,0.69027,0.75,0.73009,0.74779,0.74558,0.77876,0.82965,0.82743
tuning_trec_der_a0.5_b0.75_r0.01,0.30973,0.40487,0.61283,0.65929,0.69248,0.72566,0.74336,0.74115,0.75664,0.7677
tuning_trec_der_a0.5_b0.75_r0.02,0.30973,0.40487,0.64602,0.70575,0.71239,0.7323,0.73673,0.75885,0.75442,0.76549
tuning_trec_der_a0.5_b1_r0.01,0.30973,0.40265,0.63496,0.65929,0.70796,0.71681,0.7146,0.74115,0.75442,0.76549
tuning_trec_der_a0.5_b1_r0.02,0.30973,0.40265,0.67035,0.70133,0.6969,0.7323,0.74558,0.74336,0.74558,0.77212
tuning_trec_der_a0.75_b0.75_r0.01,0.30973,0.38938,0.56858,0.63496,0.71018,0.67257,0.71903,0.73009,0.76106,0.74115
tuning_trec_der_a0.75_b0.75_r0.02,0.30973,0.38938,0.60177,0.64823,0.69469,0.71239,0.73451,0.75221,0.75885,0.74558
