experiment,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
tuning_trec_der_a0.1_b0.75_r0.01,0.22743,0.41702,0.64285,0.64073,0.67306,0.6585,0.67842,0.67919,0.74171,0.79918
tuning_trec_der_a0.1_b0.75_r0.02,0.22743,0.41702,0.6411,0.67237,0.68102,0.68746,0.70318,0.70317,0.73822,0.86045
tuning_trec_der_a0.1_b1_r0.01,0.22743,0.41998,0.63268,0.65409,0.68956,0.73837,0.72958,0.71912,0.7966,0.80701
tuning_trec_der_a0.1_b1_r0.02,0.22743,0.41998,0.6515,0.66494,0.69319,0.71354,0.73734,0.80335,0.88277,0.8792
tuning_trec_der_a0.25_b0.75_r0.01,0.22743,0.36553,0.64052,0.66123,0.68818,0.68505,0.68379,0.70376,0.70336,0.71195
tuning_trec_der_a0.25_b0.75_r0.02,0.22743,0.36553,0.63394,0.68313,0.67295,0.70707,0.71408,0.71329,0.83536,0.87471
tuning_trec_der_a0.25_b1_r0.01,0.22743,0.36637,0.62975,0.68325,0.66127,0.67339,0.71916,0.72298,0.72122,0.71052
tuning_trec_der_a0.25_b1_r0.02,0.22743,0.36637,0.6415,0.69835,0.67733,0.69544,0.69277,0.72214,0.81479,0.81517
tuning_trec_der_a0.5_b0.75_r0.01,0.22743,0.31491,0.55837,0.61337,0.63669,0.6784,0.69108,0.68749,0.70131,0.71174
tuning_trec_der_a0.5_b0.75_r0.02,0.22743,0.31491,0.59199,0.65945,0.65835,0.68415,0.68455,0.70419,0.70162,0.71058
tuning_trec_der_a0.5_b1_r0.01,0.22743,0.30944,0.58551,0.62053,0.65567,0.66794,0.66687,0.68403,0.69906,0.70892
tuning_trec_der_a0.5_b1_r0.02,0.22743,0.30944,0.61784,0.65174,0.64638,0.67963,0.69377,0.69256,0.69057,0.72696
tuning_trec_der_a0.75_b0.75_r0.01,0.22743,0.28917,0.52281,0.59528,0.65881,0.63233,0.66822,0.67524,0.70931,0.68852
tuning_trec_der_a0.75_b0.75_r0.02,0.22743,0.28917,0.55487,0.61121,0.64948,0.66617,0.68586,0.69727,0.70352,0.69186
tuning_trec_der_a0.75_b1_r0.01,0.22743,0.29231,0.51072,0.55625,0.62003,0.67526,0.6996,0.67913,0.70764,0.69599
tuning_trec_der_a0.75_b1_r0.02,0.22743,0.29231,0.57142,0.61144,0.63911,0.65048,0.65098,0.70149,0.71124,0.68914
tuning_trec_sd_a0.1_r0.01,0.22743,0.44921,0.63455,0.66059,0.69487,0.70211,0.71691,0.71967,0.78889,0.78059
tuning_trec_sd_a0.1_r0.02,0.22743,0.44921,0.64579,0.65808,0.71326,0.81342,0.80031,0.82389,0.84839,0.79954
tuning_trec_sd_a0.25_r0.01,0.22743,0.45107,0.61714,0.66545,0.69451,0.68454,0.7158,0.72784,0.73659,0.79322
tuning_trec_sd_a0.25_r0.02,0.22743,0.45107,0.63506,0.6625,0.68618,0.69244,0.76699,0.76749,0.78872,0.84105
tuning_trec_sd_a0.5_r0.01,0.22743,0.41456,0.62002,0.6482,0.64706,0.68546,0.74058,0.72118,0.7524,0.71375
tuning_trec_sd_a0.5_r0.02,0.22743,0.41456,0.62658,0.65369,0.66848,0.79238,0.82803,0.8314,0.88188,0.86951
tuning_trec_sd_a0.75_r0.01,0.22743,0.38239,0.53982,0.63786,0.63419,0.67072,0.67244,0.71486,0.7326,0.67129
tuning_trec_sd_a0.75_r0.02,0.22743,0.38239,0.57466,0.63222,0.65562,0.66933,0.69516,0.69806,0.7026,0.72766
tuning_trec_sds2_a0.1_l0.1_k0.1_r0.01,0.22743,0.44822,0.64989,0.68187,0.81944,0.69322,0.80036,0.87458,0.8011,0.77993
tuning_trec_sds2_a0.1_l0.1_k0.1_r0.02,0.22743,0.44822,0.65719,0.67326,0.75348,0.78819,0.81719,0.837,0.83723,0.87407
tuning_trec_sds2_a0.1_l0.1_k1_r0.01,0.22743,0.44156,0.65206,0.65128,0.69984,0.71222,0.72037,0.76054,0.77603,0.76931
tuning_trec_sds2_a0.1_l0.1_k1_r0.02,0.22743,0.44156,0.65162,0.67614,0.75404,0.7818,0.73208,0.79373,0.76677,0.84511
tuning_trec_sds2_a0.1_l10_k0.1_r0.01,0.22743,0.40136,0.64834,0.6495,0.6809,0.68582,0.79449,0.86048,0.8484,0.88579
tuning_trec_sds2_a0.1_l10_k0.1_r0.02,0.22743,0.40136,0.65404,0.68418,0.77965,0.82692,0.8439,0.78077,0.8716,0.8886
tuning_trec_sds2_a0.1_l10_k1_r0.01,0.22743,0.38772,0.62871,0.66209,0.72149,0.80694,0.78436,0.8332,0.81037,0.88
tuning_trec_sds2_a0.1_l10_k1_r0.02,0.22743,0.38772,0.64549,0.66024,0.66941,0.69993,0.77029,0.7936,0.79273,0.81371
tuning_trec_sds2_a0.1_l1_k0.1_r0.01,0.22743,0.43515,0.62892,0.67872,0.6935,0.71737,0.70453,0.76173,0.72725,0.71233
tuning_trec_sds2_a0.1_l1_k0.1_r0.02,0.22743,0.43515,0.64085,0.67258,0.75054,0.78299,0.84299,0.81744,0.87854,0.88231
tuning_trec_sds2_a0.1_l1_k1_r0.01,0.22743,0.4085,0.62969,0.68489,0.69379,0.6924,0.71256,0.71019,0.75723,0.74997
tuning_trec_sds2_a0.1_l1_k1_r0.02,0.22743,0.4085,0.64375,0.68542,0.70161,0.82491,0.80983,0.80528,0.79574,0.82221
tuning_trec_sds2_a0.25_l0.1_k0.1_r0.01,0.22743,0.44195,0.61401,0.67137,0.69516,0.69713,0.68981,0.70945,0.71464,0.71398
tuning_trec_sds2_a0.25_l0.1_k0.1_r0.02,0.22743,0.44195,0.6318,0.65374,0.6697,0.69721,0.69931,0.77267,0.79749,0.8918
tuning_trec_sds2_a0.25_l0.1_k1_r0.01,0.22743,0.44711,0.63722,0.64995,0.70141,0.71266,0.69413,0.74067,0.76556,0.78379
tuning_trec_sds2_a0.25_l0.1_k1_r0.02,0.22743,0.44711,0.63819,0.6619,0.66909,0.68262,0.74375,0.76204,0.87509,0.86965
tuning_trec_sds2_a0.25_l10_k0.1_r0.01,0.22743,0.4141,0.62688,0.65698,0.69885,0.68378,0.70729,0.78059,0.77133,0.85697
tuning_trec_sds2_a0.25_l10_k0.1_r0.02,0.22743,0.4141,0.63741,0.6831,0.72648,0.80082,0.82537,0.79618,0.82642,0.84338
tuning_trec_sds2_a0.25_l10_k1_r0.01,0.22743,0.41185,0.64135,0.67543,0.67125,0.70746,0.71598,0.70996,0.73644,0.84804
tuning_trec_sds2_a0.25_l10_k1_r0.02,0.22743,0.41185,0.6509,0.65857,0.74086,0.80612,0.82961,0.83637,0.81715,0.86977
tuning_trec_sds2_a0.25_l1_k0.1_r0.01,0.22743,0.44183,0.62647,0.67512,0.68641,0.69565,0.71137,0.7005,0.70834,0.74529
tuning_trec_sds2_a0.25_l1_k0.1_r0.02,0.22743,0.44183,0.63504,0.6743,0.6878,0.7362,0.80478,0.82627,0.81967,0.84539
tuning_trec_sds2_a0.25_l1_k1_r0.01,0.22743,0.41644,0.64664,0.65529,0.71209,0.74465,0.76694,0.79018,0.7395,0.85256
tuning_trec_sds2_a0.25_l1_k1_r0.02,0.22743,0.41644,0.64277,0.68651,0.68922,0.71659,0.82531,0.85108,0.80845,0.8681
tuning_trec_sds2_a0.5_l0.1_k0.1_r0.01,0.22743,0.41522,0.63774,0.69056,0.6734,0.69419,0.69128,0.69316,0.71931,0.70754
tuning_trec_sds2_a0.5_l0.1_k0.1_r0.02,0.22743,0.41522,0.65519,0.66173,0.67023,0.69427,0.76132,0.80768,0.78663,0.80597
tuning_trec_sds2_a0.5_l0.1_k1_r0.01,0.22743,0.40732,0.63805,0.64095,0.66919,0.72017,0.79355,0.75394,0.77745,0.85443
tuning_trec_sds2_a0.5_l0.1_k1_r0.02,0.22743,0.40732,0.63562,0.66255,0.68957,0.69687,0.74754,0.74186,0.7785,0.79743
tuning_trec_sds2_a0.5_l10_k0.1_r0.01,0.22743,0.38924,0.64728,0.65359,0.67947,0.72799,0.8125,0.77526,0.84471,0.87701
tuning_trec_sds2_a0.5_l10_k0.1_r0.02,0.22743,0.38924,0.63763,0.66663,0.69733,0.73616,0.78867,0.85495,0.85888,0.85586
tuning_trec_sds2_a0.5_l10_k1_r0.01,0.22743,0.39283,0.64781,0.65528,0.69603,0.67013,0.70127,0.71366,0.7523,0.83304
tuning_trec_sds2_a0.5_l10_k1_r0.02,0.22743,0.39283,0.63639,0.67305,0.67612,0.67041,0.69421,0.73344,0.78108,0.8682
tuning_trec_sds2_a0.5_l1_k0.1_r0.01,0.22743,0.42121,0.64012,0.65579,0.66713,0.66193,0.70689,0.65627,0.69912,0.72488
tuning_trec_sds2_a0.5_l1_k0.1_r0.02,0.22743,0.42121,0.63399,0.67716,0.69413,0.72239,0.74459,0.77439,0.8053,0.83704
tuning_trec_sds2_a0.5_l1_k1_r0.01,0.22743,0.39437,0.6385,0.6648,0.66602,0.68722,0.71318,0.69092,0.70128,0.7112
tuning_trec_sds2_a0.5_l1_k1_r0.02,0.22743,0.39437,0.6442,0.6737,0.67903,0.68434,0.70051,0.80507,0.87691,0.87529
tuning_trec_sds2_a0.75_l0.1_k0.1_r0.01,0.22743,0.37785,0.61776,0.64027,0.65861,0.64575,0.68297,0.67323,0.70719,0.68517
tuning_trec_sds2_a0.75_l0.1_k0.1_r0.02,0.22743,0.37785,0.61893,0.67137,0.64882,0.67634,0.68448,0.72963,0.70496,0.72657
tuning_trec_sds2_a0.75_l0.1_k1_r0.01,0.22743,0.37342,0.59513,0.64597,0.70583,0.72046,0.75494,0.72097,0.78204,0.8044
tuning_trec_sds2_a0.75_l0.1_k1_r0.02,0.22743,0.37342,0.60086,0.6622,0.64339,0.71672,0.74744,0.86009,0.86849,0.8666
tuning_trec_sds2_a0.75_l10_k0.1_r0.01,0.22743,0.37763,0.58197,0.63339,0.65492,0.64458,0.81202,0.81516,0.82534,0.84012
tuning_trec_sds2_a0.75_l10_k0.1_r0.02,0.22743,0.37763,0.5925,0.64986,0.66917,0.67687,0.69068,0.80218,0.76183,0.84226
tuning_trec_sds2_a0.75_l10_k1_r0.01,0.22743,0.36901,0.59785,0.62394,0.67026,0.6482,0.68364,0.66955,0.68918,0.70014
tuning_trec_sds2_a0.75_l10_k1_r0.02,0.22743,0.36901,0.61248,0.66267,0.65929,0.65674,0.67176,0.70213,0.68938,0.74829
tuning_trec_sds2_a0.75_l1_k0.1_r0.01,0.22743,0.38145,0.58218,0.63579,0.65611,0.68235,0.67935,0.67415,0.67523,0.68658
tuning_trec_sds2_a0.75_l1_k0.1_r0.02,0.22743,0.38145,0.60157,0.65807,0.64253,0.67179,0.67208,0.7054,0.70235,0.77178
tuning_trec_sds2_a0.75_l1_k1_r0.01,0.22743,0.37412,0.60921,0.65008,0.66616,0.67001,0.68197,0.70321,0.70713,0.70612
tuning_trec_sds2_a0.75_l1_k1_r0.02,0.22743,0.37412,0.60319,0.64253,0.62646,0.66687,0.79869,0.83121,0.85883,0.83957
