experiment,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9
tuning_trec_sds2_a0.25_l10_k1_r0.01,0.22168,0.44474,0.61004,0.62999,0.62931,0.67412,0.67441,0.6689,0.86165,0.87995
tuning_trec_sds2_a0.25_l10_k1_r0.02,0.22168,0.44474,0.61784,0.61246,0.82597,0.85299,0.86636,0.87823,0.87368,0.89697
tuning_trec_sds2_a0.25_l1_k0.1_r0.01,0.22168,0.46229,0.59324,0.63574,0.6392,0.65652,0.6799,0.66005,0.66864,0.84211
tuning_trec_sds2_a0.25_l1_k0.1_r0.02,0.22168,0.46229,0.59608,0.63648,0.64388,0.82362,0.85459,0.87435,0.86498,0.88572
tuning_trec_sds2_a0.25_l1_k1_r0.01,0.22168,0.45103,0.61199,0.61815,0.82802,0.83383,0.8434,0.85403,0.84948,0.87499
tuning_trec_sds2_a0.25_l1_k1_r0.02,0.22168,0.45103,0.60791,0.64354,0.65136,0.82916,0.86411,0.87782,0.86564,0.89463
tuning_trec_sds2_a0.5_l0.1_k0.1_r0.01,0.22168,0.45221,0.59671,0.65903,0.63647,0.66174,0.65657,0.65391,0.82103,0.6771
tuning_trec_sds2_a0.5_l0.1_k0.1_r0.02,0.22168,0.45221,0.61687,0.61845,0.62645,0.81212,0.82895,0.86588,0.8627,0.86573
tuning_trec_sds2_a0.5_l0.1_k1_r0.01,0.22168,0.44178,0.60229,0.60258,0.63305,0.82016,0.84349,0.84477,0.85676,0.88345
tuning_trec_sds2_a0.5_l0.1_k1_r0.02,0.22168,0.44178,0.60357,0.62046,0.64781,0.65384,0.83321,0.83153,0.84944,0.85019
tuning_trec_sds2_a0.5_l10_k0.1_r0.01,0.22168,0.38504,0.61156,0.61968,0.6391,0.83736,0.83975,0.83505,0.86731,0.90173
tuning_trec_sds2_a0.5_l10_k0.1_r0.02,0.22168,0.38504,0.60309,0.62451,0.79656,0.81218,0.8484,0.8847,0.88349,0.89287
tuning_trec_sds2_a0.5_l10_k1_r0.01,0.22168,0.39659,0.61205,0.61835,0.66067,0.63591,0.66465,0.68224,0.84689,0.87493
tuning_trec_sds2_a0.5_l10_k1_r0.02,0.22168,0.39659,0.60277,0.6308,0.63874,0.62706,0.64935,0.83488,0.85712,0.88667
tuning_trec_sds2_a0.5_l1_k0.1_r0.01,0.22168,0.45736,0.60803,0.61499,0.63258,0.62832,0.67039,0.61599,0.66581,0.83898
tuning_trec_sds2_a0.5_l1_k0.1_r0.02,0.22168,0.45736,0.60219,0.6322,0.65672,0.81469,0.83651,0.86203,0.86801,0.8796
tuning_trec_sds2_a0.5_l1_k1_r0.01,0.22168,0.41421,0.60535,0.62323,0.62181,0.6483,0.68707,0.65079,0.66396,0.67839
tuning_trec_sds2_a0.5_l1_k1_r0.02,0.22168,0.41421,0.60949,0.62918,0.6403,0.64085,0.66448,0.86294,0.89487,0.89458
tuning_trec_sds2_a0.75_l0.1_k0.1_r0.01,0.22168,0.37723,0.58902,0.60247,0.63149,0.61314,0.64675,0.63748,0.66821,0.6463
tuning_trec_sds2_a0.75_l0.1_k0.1_r0.02,0.22168,0.37723,0.58997,0.63639,0.60775,0.64267,0.64442,0.82359,0.67027,0.84663
tuning_trec_sds2_a0.75_l0.1_k1_r0.01,0.22168,0.37779,0.57083,0.61269,0.80317,0.81098,0.82798,0.80537,0.84439,0.86215
tuning_trec_sds2_a0.75_l0.1_k1_r0.02,0.22168,0.37779,0.56762,0.62287,0.60938,0.81523,0.81794,0.87575,0.88338,0.88587
tuning_trec_sds2_a0.75_l10_k0.1_r0.01,0.22168,0.32507,0.54996,0.6038,0.61849,0.61319,0.83838,0.84413,0.85358,0.85837
tuning_trec_sds2_a0.75_l10_k0.1_r0.02,0.22168,0.32507,0.55966,0.60508,0.63162,0.63482,0.80635,0.84592,0.82792,0.87376
tuning_trec_sds2_a0.75_l10_k1_r0.01,0.22168,0.31875,0.56874,0.59258,0.63803,0.62139,0.65097,0.63214,0.64681,0.66001
tuning_trec_sds2_a0.75_l10_k1_r0.02,0.22168,0.31875,0.58477,0.62868,0.62642,0.62219,0.63471,0.66563,0.65252,0.84872
tuning_trec_sds2_a0.75_l1_k0.1_r0.01,0.22168,0.38045,0.55616,0.60697,0.62248,0.64761,0.64431,0.63636,0.63906,0.6554
tuning_trec_sds2_a0.75_l1_k0.1_r0.02,0.22168,0.38045,0.57241,0.62025,0.6096,0.63291,0.63327,0.67962,0.6717,0.85488
tuning_trec_sds2_a0.75_l1_k1_r0.01,0.22168,0.32264,0.57269,0.61276,0.63166,0.63147,0.64444,0.66785,0.67138,0.66987
tuning_trec_sds2_a0.75_l1_k1_r0.02,0.22168,0.32264,0.56642,0.60288,0.59693,0.79618,0.83504,0.85437,0.87688,0.85991
