experiment,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9
tuning_trec_der_adapter_c16,0.30351,0.5325,0.61618,0.81178,0.857,0.8721,0.87005,0.89622,0.86193,0.88629
tuning_trec_der_adapter_c8,0.41085,0.53588,0.59995,0.85123,0.88822,0.89331,0.89426,0.90488,0.90972,0.90835
tuning_trec_der_lora_r4_a16,0.21871,0.52584,0.65565,0.64426,0.67213,0.65425,0.69208,0.87248,0.87358,0.8738
tuning_trec_der_lora_r4_a8,0.24439,0.44518,0.61114,0.81622,0.85275,0.83543,0.87024,0.87295,0.86707,0.88078
tuning_trec_der_lora_r8_a16,0.2239,0.50079,0.62066,0.62924,0.83637,0.84768,0.85049,0.86532,0.88364,0.87805
tuning_trec_der_lora_r8_a8,0.22168,0.44604,0.61744,0.63005,0.65469,0.67488,0.84143,0.87374,0.89723,0.89675
tuning_trec_der_prefix_p10,0.49625,0.58053,0.62311,0.65269,0.66203,0.69058,0.66964,0.69165,0.86041,0.8693
tuning_trec_der_prefix_p20,0.48822,0.56076,0.62679,0.63501,0.65695,0.86174,0.88402,0.85985,0.90834,0.91447
tuning_trec_sd_adapter_c16,0.30351,0.56237,0.62583,0.81865,0.87488,0.86603,0.88611,0.89393,0.87016,0.89168
tuning_trec_sd_adapter_c8,0.41085,0.55607,0.83043,0.85472,0.89437,0.88044,0.90441,0.91026,0.90883,0.89924
tuning_trec_sd_lora_r4_a16,0.21871,0.53827,0.66286,0.64422,0.65253,0.82241,0.86742,0.85921,0.84935,0.87361
tuning_trec_sd_lora_r4_a8,0.24439,0.46779,0.78689,0.84378,0.81813,0.86056,0.8425,0.86167,0.86954,0.85293
tuning_trec_sd_lora_r8_a16,0.2239,0.50345,0.5979,0.7961,0.81188,0.85791,0.8821,0.89662,0.88534,0.9064
tuning_trec_sd_lora_r8_a8,0.22168,0.44947,0.5911,0.61521,0.62362,0.82741,0.86532,0.86576,0.89606,0.89384
tuning_trec_sd_prefix_p10,0.49625,0.60326,0.65132,0.63863,0.83287,0.67094,0.67157,0.83817,0.84097,0.88409
tuning_trec_sd_prefix_p20,0.48822,0.59474,0.64859,0.67339,0.64521,0.6687,0.67124,0.6714,0.67882,0.85183
tuning_trec_sds2_adapter_c16,0.30351,0.57429,0.62513,0.85575,0.86636,0.89508,0.87482,0.89586,0.90349,0.90099
tuning_trec_sds2_adapter_c8,0.41085,0.59154,0.77991,0.85833,0.87322,0.86202,0.89346,0.90601,0.91334,0.91629
tuning_trec_sds2_lora_r4_a16,0.21871,0.5485,0.62922,0.65306,0.6664,0.82467,0.86257,0.85479,0.85953,0.87483
tuning_trec_sds2_lora_r4_a8,0.24439,0.48406,0.78174,0.84877,0.84897,0.86109,0.86739,0.86347,0.86529,0.88989
tuning_trec_sds2_lora_r8_a16,0.2239,0.50697,0.59099,0.81092,0.82175,0.83744,0.86369,0.85782,0.88317,0.8888
tuning_trec_sds2_lora_r8_a8,0.22168,0.46259,0.5983,0.61047,0.62597,0.66453,0.82639,0.87337,0.87126,0.90916
tuning_trec_sds2_prefix_p10,0.49625,0.60386,0.65743,0.65445,0.66872,0.67146,0.66864,0.8515,0.84424,0.89652
tuning_trec_sds2_prefix_p20,0.48822,0.6067,0.64309,0.65886,0.67136,0.82492,0.87817,0.89975,0.89021,0.88005
