experiment,run,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
training_trec_10_prefix_der_coreset,3,14601,27933,39979,39942,39937,39950,39931,39915,39897,39918
training_trec_10_prefix_der_entropy,1,14458,27879,39856,39885,39870,39883,39866,39876,39867,39910
training_trec_10_prefix_der_entropy,2,14567,27949,40022,40063,40091,40080,40053,40001,40000,40015
training_trec_10_prefix_der_entropy,3,14537,27931,39952,39977,39933,39948,39918,39894,39886,39903
training_trec_10_prefix_der_random,1,14486,27791,39730,39776,39749,39765,39779,39759,39811,39746
training_trec_10_prefix_der_random,2,14552,27959,39884,39877,39800,39826,39860,39857,39825,39858
training_trec_10_prefix_der_random,3,14502,27818,39716,39736,39750,40052,39696,39693,39706,39693
training_trec_10_prefix_sd_coreset,1,14016,27207,39157,39148,39138,39123,39163,39118,39127,39042
training_trec_10_prefix_sd_coreset,2,14109,27140,39154,39203,39195,39227,39218,39232,39266,39209
training_trec_10_prefix_sd_coreset,3,14133,27140,39137,39192,39143,39128,39111,39092,39122,39068
training_trec_10_prefix_sd_entropy,1,14088,27126,39036,39101,39076,39048,39081,39019,39024,39049
training_trec_10_prefix_sd_entropy,2,14132,27110,39161,39315,39162,39240,39184,39203,39237,39199
training_trec_10_prefix_sd_entropy,3,14115,27023,39112,39119,39063,39106,39108,39109,39086,39059
training_trec_10_prefix_sd_random,1,14081,27024,38864,38912,38897,38844,38851,38821,38812,38784
training_trec_10_prefix_sd_random,2,14123,27030,38906,38973,38962,38974,38990,39000,39011,38996
training_trec_10_prefix_sd_random,3,14130,27060,38902,38962,38972,38977,38982,38956,38981,38930
training_trec_10_prefix_sds2_coreset,1,14034,27463,39605,39901,39931,39924,39913,39906,39857,39885
training_trec_10_prefix_sds2_coreset,2,14113,27427,39642,39918,39989,39975,40035,40000,40045,40029
training_trec_10_prefix_sds2_coreset,3,14094,27305,39687,40012,39986,39985,39974,39934,39958,39894
training_trec_10_prefix_sds2_entropy,1,14094,27399,39624,39928,39919,39912,39874,39880,39873,39848
training_trec_10_prefix_sds2_entropy,2,14128,27377,39660,40003,39994,40002,40033,40084,40061,40088
training_trec_10_prefix_sds2_entropy,3,14147,27356,39811,40104,40061,40039,40044,40034,40043,40012
training_trec_10_prefix_sds2_random,1,14104,27276,39490,39790,39784,39814,39776,39761,39745,39708
training_trec_10_prefix_sds2_random,2,14145,27231,39458,39761,39784,39794,39808,39832,39811,39800
training_trec_10_prefix_sds2_random,3,14110,27245,39426,39780,39804,39797,39810,39818,39829,39808
