experiment,run,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
training_trec_10_prefix_der_random,2,4,7,6,5,3,3,6,3,3,3
training_trec_10_prefix_der_random,3,4,8,5,5,3,5,3,5,5,3
training_trec_10_prefix_sd_coreset,1,4,25405,25482,25472,25480,25463,25591,25484,25496,25604
training_trec_10_prefix_sd_coreset,2,4,25511,25509,25549,25551,25632,25524,25558,25561,25631
training_trec_10_prefix_sd_coreset,3,4,25445,25465,25460,25524,25491,25463,25478,25475,25502
training_trec_10_prefix_sd_entropy,1,4,24914,24699,24375,24121,23878,23617,23359,23136,22887
training_trec_10_prefix_sd_entropy,2,4,25054,24786,24534,24286,24075,23786,23565,23294,23069
training_trec_10_prefix_sd_entropy,3,4,25059,24651,24322,24078,23864,23650,23339,23072,22847
training_trec_10_prefix_sd_random,1,4,7,5,3,5,3,6,3,5,3
training_trec_10_prefix_sd_random,2,4,7,6,3,3,3,3,3,3,5
training_trec_10_prefix_sd_random,3,4,8,6,3,5,3,3,3,3,3
training_trec_10_prefix_sds2_coreset,1,4,25286,25312,25287,25341,25330,25311,25393,25400,25354
training_trec_10_prefix_sds2_coreset,2,4,25457,25480,25465,25501,25541,25532,25512,25536,25512
training_trec_10_prefix_sds2_coreset,3,4,25201,25271,25292,25295,25326,25302,25307,25304,25347
training_trec_10_prefix_sds2_entropy,1,4,24939,24499,24241,23969,23694,23482,23267,22952,22735
training_trec_10_prefix_sds2_entropy,2,4,25018,24729,24366,24116,23858,23594,23380,23141,22891
training_trec_10_prefix_sds2_entropy,3,4,25017,24693,24223,23980,23731,23473,23232,23002,22720
training_trec_10_prefix_sds2_random,1,4,8,6,4,3,3,5,3,3,3
training_trec_10_prefix_sds2_random,2,4,8,5,3,3,3,3,3,3,3
training_trec_10_prefix_sds2_random,3,4,7,5,3,3,3,3,3,3,3
