experiment,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
tuning_sensation_der_adapter_c16,0.44777,0.53235,0.47146,0.47169,0.50529,0.52109,0.52497,0.58891,0.63921,0.60952
tuning_sensation_der_adapter_c8,0.48479,0.51037,0.53606,0.60566,0.60248,0.63604,0.63712,0.63712,0.65006,0.63108
tuning_sensation_der_lora_r4_a16,0.50354,0.50334,0.55711,0.5712,0.58861,0.61621,0.63997,0.65069,0.65035,0.63572
tuning_sensation_der_lora_r4_a8,0.51203,0.47951,0.43946,0.59995,0.61993,0.6137,0.61263,0.60003,0.64948,0.64888
tuning_sensation_der_lora_r8_a16,0.39875,0.52446,0.57551,0.63083,0.60327,0.60583,0.62943,0.62679,0.63892,0.63723
tuning_sensation_der_lora_r8_a8,0.4028,0.48658,0.43471,0.44336,0.51423,0.59804,0.60785,0.65044,0.61743,0.68899
tuning_sensation_der_prefix_p10,0.51214,0.5461,0.63806,0.59037,0.60472,0.5618,0.60866,0.6608,0.68,0.67547
tuning_sensation_der_prefix_p20,0.3572,0.5545,0.5858,0.5868,0.57713,0.60572,0.61336,0.64218,0.66703,0.66923
tuning_sensation_sd_adapter_c16,0.44777,0.51846,0.52125,0.52078,0.51702,0.518,0.58279,0.6278,0.61965,0.63754
tuning_sensation_sd_adapter_c8,0.48479,0.5301,0.52883,0.59586,0.60971,0.6261,0.60397,0.63081,0.64945,0.64633
tuning_sensation_sd_lora_r4_a16,0.50354,0.51736,0.5473,0.58647,0.59198,0.58617,0.63591,0.61964,0.59346,0.62515
tuning_sensation_sd_lora_r4_a8,0.51203,0.4821,0.52807,0.55245,0.584,0.55746,0.58639,0.62744,0.64887,0.63147
tuning_sensation_sd_lora_r8_a16,0.39875,0.53198,0.55294,0.58515,0.5909,0.62921,0.62655,0.63966,0.62163,0.63572
tuning_sensation_sd_lora_r8_a8,0.4028,0.46258,0.51846,0.5904,0.60495,0.5709,0.61232,0.63775,0.6525,0.63775
tuning_sensation_sd_prefix_p10,0.51214,0.54696,0.57174,0.61265,0.63598,0.62884,0.63089,0.66234,0.67307,0.69518
tuning_sensation_sd_prefix_p20,0.3572,0.51401,0.63918,0.63395,0.62876,0.6654,0.64348,0.66976,0.68597,0.69225
tuning_sensation_sds2_adapter_c16,0.44777,0.51506,0.56636,0.57347,0.57367,0.58481,0.60679,0.62057,0.59244,0.62079
tuning_sensation_sds2_adapter_c8,0.48479,0.50485,0.55866,0.56065,0.55689,0.59836,0.58846,0.61821,0.60672,0.63604
tuning_sensation_sds2_lora_r4_a16,0.50354,0.51999,0.56271,0.57954,0.58528,0.60042,0.60066,0.61223,0.59424,0.59234
tuning_sensation_sds2_lora_r4_a8,0.51203,0.5191,0.43384,0.52972,0.54697,0.61735,0.65426,0.64734,0.65665,0.66409
tuning_sensation_sds2_lora_r8_a16,0.39875,0.50187,0.56024,0.60924,0.63966,0.63986,0.66591,0.67528,0.6759,0.69947
tuning_sensation_sds2_lora_r8_a8,0.4028,0.46023,0.45295,0.54123,0.60591,0.64426,0.63211,0.64985,0.62987,0.62
tuning_sensation_sds2_prefix_p10,0.51214,0.58908,0.59821,0.60819,0.62389,0.64543,0.64388,0.65811,0.6341,0.6691
tuning_sensation_sds2_prefix_p20,0.3572,0.53886,0.56973,0.5552,0.56975,0.62545,0.64829,0.66481,0.66268,0.63629
