experiment,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9
tuning_sensation_der_adapter_c16,0.4925,0.53202,0.49812,0.50821,0.52652,0.5374,0.54749,0.58551,0.62614,0.60018
tuning_sensation_der_adapter_c8,0.52315,0.5632,0.60185,0.63339,0.61592,0.65618,0.65197,0.65197,0.65744,0.64713
tuning_sensation_der_lora_r4_a16,0.50818,0.54068,0.573,0.57748,0.5948,0.623,0.63955,0.66607,0.64901,0.63492
tuning_sensation_der_lora_r4_a8,0.51231,0.51284,0.49958,0.59907,0.62342,0.60538,0.60299,0.59253,0.63539,0.6328
tuning_sensation_der_lora_r8_a16,0.49863,0.55119,0.57811,0.62348,0.6049,0.60932,0.62067,0.62425,0.63393,0.63372
tuning_sensation_der_lora_r8_a8,0.49582,0.51243,0.50302,0.49615,0.52022,0.59746,0.60173,0.65182,0.61359,0.6937
tuning_sensation_der_prefix_p10,0.51266,0.54492,0.63112,0.58447,0.59654,0.56111,0.59976,0.66129,0.67581,0.66416
tuning_sensation_der_prefix_p20,0.55146,0.61195,0.63916,0.5828,0.57354,0.60391,0.64707,0.63435,0.66753,0.66213
tuning_sensation_sd_adapter_c16,0.4925,0.5201,0.5224,0.52849,0.53599,0.53417,0.57823,0.61667,0.60824,0.62972
tuning_sensation_sd_adapter_c8,0.52315,0.55603,0.53757,0.6167,0.61254,0.63106,0.59576,0.62748,0.63799,0.63757
tuning_sensation_sd_lora_r4_a16,0.50818,0.55057,0.56915,0.60723,0.61347,0.60863,0.63632,0.63465,0.58904,0.62404
tuning_sensation_sd_lora_r4_a8,0.51231,0.51607,0.53292,0.55326,0.58217,0.55565,0.58166,0.62706,0.64059,0.62228
tuning_sensation_sd_lora_r8_a16,0.49863,0.55765,0.57398,0.6014,0.60624,0.67162,0.65394,0.66081,0.63626,0.63492
tuning_sensation_sd_lora_r8_a8,0.49582,0.50197,0.52324,0.58841,0.59872,0.5675,0.62118,0.63653,0.65343,0.63653
tuning_sensation_sd_prefix_p10,0.51266,0.54851,0.56855,0.60636,0.62431,0.61807,0.61968,0.64767,0.66114,0.67446
tuning_sensation_sd_prefix_p20,0.55146,0.602,0.66222,0.64313,0.64692,0.68459,0.65541,0.67918,0.68486,0.6911
tuning_sensation_sds2_adapter_c16,0.4925,0.51688,0.56744,0.57031,0.57389,0.58617,0.60152,0.61281,0.58763,0.61541
tuning_sensation_sds2_adapter_c8,0.52315,0.57022,0.60051,0.57903,0.57581,0.60427,0.61747,0.62602,0.60672,0.63772
tuning_sensation_sds2_lora_r4_a16,0.50818,0.5566,0.57784,0.59516,0.59579,0.61571,0.6115,0.62398,0.59424,0.59262
tuning_sensation_sds2_lora_r4_a8,0.51231,0.53053,0.5014,0.54364,0.5543,0.60741,0.64262,0.63638,0.65526,0.65329
tuning_sensation_sds2_lora_r8_a16,0.49863,0.53184,0.60795,0.62939,0.66081,0.64937,0.67455,0.68683,0.69265,0.70317
tuning_sensation_sds2_lora_r8_a8,0.49582,0.49875,0.50239,0.54582,0.60012,0.64839,0.63871,0.66888,0.63148,0.64328
tuning_sensation_sds2_prefix_p10,0.51266,0.5908,0.59367,0.60693,0.62664,0.64017,0.64137,0.66529,0.63751,0.66072
tuning_sensation_sds2_prefix_p20,0.55146,0.63623,0.61159,0.56717,0.56631,0.62545,0.6474,0.6575,0.65588,0.62691
