experiment,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
tuning_sensation_sds2_a0.5_l10_k1_r0.02,11273,21893,32439,32738,32701,32772,32796,32713,32667,32642
tuning_sensation_sds2_a0.5_l1_k0.1_r0.01,11290,21869,22053,22105,21965,22029,22041,21990,21968,21836
tuning_sensation_sds2_a0.5_l1_k0.1_r0.02,11274,21866,32414,32658,32569,32671,32680,32610,32627,32594
tuning_sensation_sds2_a0.5_l1_k1_r0.01,11285,21886,21918,22103,21915,22045,22002,21974,21970,21831
tuning_sensation_sds2_a0.5_l1_k1_r0.02,11259,21896,32484,32748,32644,32711,32697,32665,32651,32634
tuning_sensation_sds2_a0.75_l0.1_k0.1_r0.01,11284,21899,22091,22113,21984,22101,22014,22010,22020,21861
tuning_sensation_sds2_a0.75_l0.1_k0.1_r0.02,11258,21886,32428,32659,32572,32674,32682,32632,32617,32574
tuning_sensation_sds2_a0.75_l0.1_k1_r0.01,11289,21894,22075,22110,21989,22087,22011,22015,22002,21869
tuning_sensation_sds2_a0.75_l0.1_k1_r0.02,11290,21889,32516,32816,32746,32784,32765,32737,32670,32610
tuning_sensation_sds2_a0.75_l10_k0.1_r0.01,11300,21922,22085,22171,22004,22088,22082,22055,22022,21861
tuning_sensation_sds2_a0.75_l10_k0.1_r0.02,11271,21858,32439,32683,32605,32689,32938,32624,32626,32611
tuning_sensation_sds2_a0.75_l10_k1_r0.01,11303,21889,22021,22076,21964,22088,22060,22027,22004,21900
tuning_sensation_sds2_a0.75_l10_k1_r0.02,11292,21899,32564,32830,32699,32873,32785,32701,32722,32649
tuning_sensation_sds2_a0.75_l1_k0.1_r0.01,11322,21907,22069,22101,22005,22090,22077,22030,22011,21869
tuning_sensation_sds2_a0.75_l1_k0.1_r0.02,11271,21871,32479,32634,32544,32660,32695,32614,32628,32574
tuning_sensation_sds2_a0.75_l1_k1_r0.01,11228,21855,22039,22089,21986,22033,22015,22014,22005,21904
tuning_sensation_sds2_a0.75_l1_k1_r0.02,11280,21885,32454,32738,32627,32803,32830,32714,32692,32688
