experiment,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
tuning_sensation_der_a0.1_b0.75_r0.01,3,18691,18534,18338,18160,17974,17799,17625,17455,17231
tuning_sensation_der_a0.1_b0.75_r0.02,3,18767,18593,18467,18259,18041,17883,17669,17510,17379
tuning_sensation_der_a0.1_b1_r0.01,3,18795,18601,18414,18261,18057,17836,17654,17491,17314
tuning_sensation_der_a0.1_b1_r0.02,3,18774,18573,18451,18302,18088,17846,17687,17522,17355
tuning_sensation_der_a0.25_b0.75_r0.01,3,18779,18644,18455,18240,18160,17881,17751,17553,17410
tuning_sensation_der_a0.25_b0.75_r0.02,3,18789,18601,18432,18284,18112,17868,17727,17519,17327
tuning_sensation_der_a0.25_b1_r0.01,3,18781,18614,18431,18234,18021,17854,17674,17498,17328
tuning_sensation_der_a0.25_b1_r0.02,3,18813,18569,18454,18219,18085,17888,17691,17505,17322
tuning_sensation_der_a0.5_b0.75_r0.01,3,18735,18625,18428,18312,18033,17887,17670,17528,17358
tuning_sensation_der_a0.5_b0.75_r0.02,3,18810,18611,18491,18270,18118,17938,17762,17547,17366
tuning_sensation_der_a0.5_b1_r0.01,3,18750,18599,18461,18239,18079,17882,17742,17495,17338
tuning_sensation_der_a0.5_b1_r0.02,3,18764,18628,18459,18276,18081,17843,17706,17520,17324
tuning_sensation_der_a0.75_b0.75_r0.01,3,18811,18678,18386,18211,18027,17869,17644,17458,17267
tuning_sensation_der_a0.75_b0.75_r0.02,3,18760,18572,18411,18267,18077,17896,17665,17533,17367
tuning_sensation_der_a0.75_b1_r0.01,3,18790,18602,18530,18251,18083,17905,17755,17561,17322
tuning_sensation_der_a0.75_b1_r0.02,3,18767,18625,18471,18286,18052,17895,17711,17525,17293
tuning_sensation_sd_a0.1_r0.01,3,18793,18594,18484,18272,18035,17877,17714,17514,17315
tuning_sensation_sd_a0.1_r0.02,3,18770,18588,18456,18226,18074,17878,17661,17503,17317
tuning_sensation_sd_a0.25_r0.01,3,18775,18629,18447,18219,18077,17891,17658,17517,17347
tuning_sensation_sd_a0.25_r0.02,3,18805,18704,18455,18303,18148,17960,17715,17522,17323
tuning_sensation_sd_a0.5_r0.01,3,18804,18610,18420,18273,18075,17897,17700,17473,17316
tuning_sensation_sd_a0.5_r0.02,3,18779,18621,18409,18282,18075,17851,17747,17515,17327
tuning_sensation_sd_a0.75_r0.01,3,18782,18578,18428,18219,18018,17841,17696,17520,17263
tuning_sensation_sd_a0.75_r0.02,3,18806,18671,18405,18275,18087,17899,17717,17540,17416
tuning_sensation_sds2_a0.1_l0.1_k0.1_r0.01,3,18792,18656,18485,18254,18068,17884,17697,17507,17355
tuning_sensation_sds2_a0.1_l0.1_k0.1_r0.02,3,18833,18613,18435,18248,18094,17866,17726,17480,17341
tuning_sensation_sds2_a0.1_l0.1_k1_r0.01,4,18769,18578,18417,18213,18036,17876,17689,17560,17332
tuning_sensation_sds2_a0.1_l0.1_k1_r0.02,3,18760,18630,18487,18269,18088,17908,17692,17481,17336
tuning_sensation_sds2_a0.1_l10_k0.1_r0.01,3,18786,18591,18473,18222,18080,17859,17728,17543,17355
tuning_sensation_sds2_a0.1_l10_k0.1_r0.02,3,18812,18720,18483,18296,18181,17874,17734,17495,17311
tuning_sensation_sds2_a0.1_l10_k1_r0.01,3,18840,18599,18460,18270,18079,17877,17667,17515,17336
tuning_sensation_sds2_a0.1_l10_k1_r0.02,3,18790,18625,18472,18237,18095,17888,17698,17520,17332
tuning_sensation_sds2_a0.1_l1_k0.1_r0.01,4,18814,18657,18406,18270,18046,17856,17707,17525,17336
tuning_sensation_sds2_a0.1_l1_k0.1_r0.02,3,18860,18657,18479,18264,18155,17908,17748,17560,17374
tuning_sensation_sds2_a0.1_l1_k1_r0.01,3,18829,18645,18461,18274,18082,17918,17718,17534,17367
tuning_sensation_sds2_a0.1_l1_k1_r0.02,3,18802,18584,18470,18276,18132,17865,17673,17512,17334
tuning_sensation_sds2_a0.25_l0.1_k0.1_r0.01,3,18784,18639,18459,18222,18115,17918,17714,17478,17284
tuning_sensation_sds2_a0.25_l0.1_k0.1_r0.02,3,18830,18601,18460,18261,18055,17883,17700,17577,17374
tuning_sensation_sds2_a0.25_l0.1_k1_r0.01,3,18804,18674,18472,18267,18092,17876,17727,17567,17344
tuning_sensation_sds2_a0.25_l0.1_k1_r0.02,3,18812,18636,18437,18238,18049,17895,17670,17566,17339
tuning_sensation_sds2_a0.25_l10_k0.1_r0.01,4,18810,18642,18405,18222,18064,17876,17659,17486,17301
tuning_sensation_sds2_a0.25_l10_k0.1_r0.02,4,18771,18641,18418,18293,18034,17855,17716,17550,17299
tuning_sensation_sds2_a0.25_l10_k1_r0.01,3,18857,18658,18598,18293,18127,17940,17744,17634,17346
tuning_sensation_sds2_a0.25_l10_k1_r0.02,3,18843,18690,18501,18373,18156,17929,17712,17594,17383
tuning_sensation_sds2_a0.25_l1_k0.1_r0.01,4,18805,18667,18451,18287,18104,17850,17669,17602,17415
tuning_sensation_sds2_a0.25_l1_k0.1_r0.02,3,18881,18599,18415,18272,18146,17902,17693,17526,17290
tuning_sensation_sds2_a0.25_l1_k1_r0.01,3,18782,18652,18455,18230,18045,17887,17669,17483,17366
tuning_sensation_sds2_a0.25_l1_k1_r0.02,3,18808,18712,18490,18304,18148,17937,17766,17608,17380
tuning_sensation_sds2_a0.5_l0.1_k0.1_r0.01,3,18870,18663,18471,18263,18043,17913,17744,17518,17407
tuning_sensation_sds2_a0.5_l0.1_k0.1_r0.02,3,18801,18708,18449,18269,18086,17860,17709,17459,17341
tuning_sensation_sds2_a0.5_l0.1_k1_r0.01,3,18778,18633,18460,18248,18041,17860,17674,17574,17321
tuning_sensation_sds2_a0.5_l0.1_k1_r0.02,3,18804,18652,18440,18315,18089,17932,17731,17552,17423
tuning_sensation_sds2_a0.5_l10_k0.1_r0.01,4,18812,18653,18448,18292,18049,17901,17722,17491,17339
tuning_sensation_sds2_a0.5_l10_k0.1_r0.02,3,18796,18636,18535,18275,18142,17877,17742,17509,17350
tuning_sensation_sds2_a0.5_l10_k1_r0.01,3,18776,18699,18408,18264,18044,17860,17712,17514,17302
tuning_sensation_sds2_a0.5_l10_k1_r0.02,3,18831,18647,18444,18311,18181,17958,17749,17561,17360
tuning_sensation_sds2_a0.5_l1_k0.1_r0.01,4,18780,18635,18416,18328,18064,17890,17697,17519,17318
tuning_sensation_sds2_a0.5_l1_k0.1_r0.02,3,18770,18658,18462,18294,18086,17862,17666,17506,17349
tuning_sensation_sds2_a0.5_l1_k1_r0.01,4,18826,18579,18386,18209,18062,17922,17648,17531,17344
tuning_sensation_sds2_a0.5_l1_k1_r0.02,3,18803,18635,18431,18310,18154,17879,17791,17493,17363
tuning_sensation_sds2_a0.75_l0.1_k0.1_r0.01,3,18813,18688,18495,18276,18085,17886,17711,17551,17326
tuning_sensation_sds2_a0.75_l0.1_k0.1_r0.02,3,18798,18600,18406,18268,18044,17920,17701,17519,17281
tuning_sensation_sds2_a0.75_l0.1_k1_r0.01,4,18803,18620,18402,18233,18056,17856,17675,17494,17315
tuning_sensation_sds2_a0.75_l0.1_k1_r0.02,3,18803,18662,18446,18297,18057,17926,17735,17522,17362
tuning_sensation_sds2_a0.75_l10_k0.1_r0.01,3,18793,18607,18423,18255,18090,17903,17674,17535,17281
tuning_sensation_sds2_a0.75_l10_k0.1_r0.02,3,18759,18623,18452,18311,18055,17961,17678,17515,17330
tuning_sensation_sds2_a0.75_l10_k1_r0.01,3,18802,18617,18395,18230,18087,17880,17672,17523,17333
tuning_sensation_sds2_a0.75_l10_k1_r0.02,3,18804,18630,18492,18278,18196,17960,17790,17593,17384
tuning_sensation_sds2_a0.75_l1_k0.1_r0.01,3,18806,18626,18435,18324,18080,17960,17698,17485,17291
tuning_sensation_sds2_a0.75_l1_k0.1_r0.02,3,18815,18639,18455,18266,18051,17852,17670,17479,17304
tuning_sensation_sds2_a0.75_l1_k1_r0.01,3,18791,18635,18395,18211,18068,17874,17668,17471,17307
tuning_sensation_sds2_a0.75_l1_k1_r0.02,3,18797,18634,18465,18245,18105,17970,17717,17533,17357
