experiment,run,time_0
baseline_agnews_100_adapter,1,1590107
baseline_agnews_100_adapter,2,1591147
baseline_agnews_100_adapter,3,1597749
baseline_agnews_100_lora,1,1582411
baseline_agnews_100_lora,2,1572646
baseline_agnews_100_lora,3,1574309
baseline_agnews_100_prefix,1,1562785
baseline_agnews_100_prefix,2,1561983
baseline_agnews_100_prefix,3,1561058
