experiment,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9
tuning_agnews_der_adapter_c16,0.89274,0.89574,0.89649,0.89783,0.89912,0.90577,0.90039,0.90153,0.90032,0.90625
tuning_agnews_der_adapter_c8,0.88544,0.88581,0.89788,0.90217,0.89652,0.8973,0.90079,0.89149,0.89618,0.89499
tuning_agnews_der_lora_r4_a16,0.87772,0.88713,0.89537,0.90381,0.90627,0.89564,0.89648,0.89813,0.89835,0.89556
tuning_agnews_der_lora_r4_a8,0.87005,0.89042,0.89973,0.89407,0.89011,0.8904,0.8955,0.90195,0.90221,0.90356
tuning_agnews_der_lora_r8_a16,0.87828,0.88659,0.89118,0.89738,0.8859,0.90096,0.89842,0.89792,0.89478,0.89648
tuning_agnews_der_lora_r8_a8,0.86818,0.88947,0.89379,0.90004,0.88898,0.89001,0.90733,0.89269,0.89227,0.89393
tuning_agnews_der_prefix_p10,0.88589,0.88275,0.88514,0.88187,0.89513,0.89821,0.90032,0.89553,0.89105,0.90389
tuning_agnews_der_prefix_p20,0.88482,0.88942,0.8888,0.88131,0.89126,0.88755,0.90134,0.89592,0.89529,0.89928
tuning_agnews_sd_adapter_c16,0.88552,0.8752,0.87657,0.88475,0.89486,0.89743,0.8936,0.89385,0.89274,0.90089
tuning_agnews_sd_adapter_c8,0.88544,0.88227,0.88979,0.89663,0.88749,0.89377,0.88562,0.89861,0.90667,0.90428
tuning_agnews_sd_lora_r4_a16,0.87772,0.8908,0.9004,0.89945,0.89487,0.88836,0.90453,0.89838,0.89668,0.91234
tuning_agnews_sd_lora_r4_a8,0.87005,0.88327,0.89206,0.89214,0.89799,0.89291,0.90279,0.90018,0.899,0.89597
tuning_agnews_sd_lora_r8_a16,0.87828,0.87367,0.8889,0.89222,0.90191,0.90238,0.89447,0.90147,0.9053,0.90218
tuning_agnews_sd_lora_r8_a8,0.86818,0.89197,0.89539,0.88466,0.89362,0.88981,0.90121,0.89209,0.88987,0.90991
tuning_agnews_sd_prefix_p10,0.88589,0.87928,0.88833,0.90128,0.89592,0.90667,0.89586,0.89587,0.8969,0.89498
tuning_agnews_sd_prefix_p20,0.88482,0.88616,0.8885,0.88547,0.88729,0.89104,0.90373,0.90344,0.89949,0.90618
tuning_agnews_sds2_adapter_c16,0.88552,0.87617,0.88701,0.88717,0.90287,0.90304,0.90853,0.89914,0.90514,0.90971
tuning_agnews_sds2_adapter_c8,0.88544,0.88136,0.89465,0.89245,0.8894,0.88167,0.90376,0.89898,0.90817,0.91128
tuning_agnews_sds2_lora_r4_a16,0.87772,0.89123,0.89337,0.90098,0.88336,0.89442,0.89731,0.89647,0.90338,0.90273
tuning_agnews_sds2_lora_r4_a8,0.87005,0.8883,0.89613,0.89042,0.88281,0.88164,0.89979,0.90762,0.90643,0.90718
tuning_agnews_sds2_lora_r8_a16,0.87828,0.87968,0.89515,0.89684,0.89807,0.89614,0.8897,0.90062,0.90271,0.89946
tuning_agnews_sds2_lora_r8_a8,0.86818,0.89133,0.89774,0.89858,0.89834,0.89465,0.9005,0.89787,0.91222,0.90383
tuning_agnews_sds2_prefix_p10,0.88589,0.87762,0.88257,0.88907,0.9035,0.89472,0.8962,0.90015,0.8909,0.90641
tuning_agnews_sds2_prefix_p20,0.88482,0.88144,0.89179,0.88444,0.90723,0.88852,0.89656,0.89954,0.89424,0.89585
