experiment,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9
tuning_agnews_der_adapter_c16,0.885,0.89167,0.89333,0.895,0.89667,0.90333,0.89833,0.9,0.89833,0.90167
tuning_agnews_der_adapter_c8,0.88333,0.88167,0.895,0.9,0.89333,0.895,0.9,0.88667,0.895,0.89167
tuning_agnews_der_lora_r4_a16,0.875,0.88333,0.89167,0.9,0.90167,0.89333,0.89333,0.89667,0.89667,0.89
tuning_agnews_der_lora_r4_a8,0.86667,0.88667,0.89667,0.89167,0.88667,0.88833,0.89,0.9,0.9,0.90167
tuning_agnews_der_lora_r8_a16,0.87333,0.88333,0.88833,0.895,0.88167,0.89833,0.89667,0.89667,0.89333,0.895
tuning_agnews_der_lora_r8_a8,0.86,0.87833,0.89,0.89667,0.88667,0.89,0.905,0.89167,0.89,0.89167
tuning_agnews_der_prefix_p10,0.885,0.88,0.88167,0.87833,0.89333,0.89667,0.89833,0.89333,0.89,0.90167
tuning_agnews_der_prefix_p20,0.87833,0.885,0.885,0.87833,0.88833,0.885,0.9,0.895,0.89333,0.89667
tuning_agnews_sd_adapter_c16,0.88,0.87167,0.875,0.88167,0.89333,0.89333,0.88833,0.89167,0.89,0.9
tuning_agnews_sd_adapter_c8,0.88333,0.87667,0.885,0.89167,0.885,0.89167,0.88333,0.89667,0.905,0.90167
tuning_agnews_sd_lora_r4_a16,0.875,0.88833,0.89667,0.89333,0.89333,0.88667,0.90333,0.89667,0.895,0.91
tuning_agnews_sd_lora_r4_a8,0.86667,0.87833,0.89,0.89,0.89667,0.89167,0.90167,0.89833,0.89833,0.895
tuning_agnews_sd_lora_r8_a16,0.87333,0.87,0.88667,0.89,0.9,0.90167,0.89333,0.89833,0.905,0.90167
tuning_agnews_sd_lora_r8_a8,0.86,0.885,0.89167,0.88333,0.89167,0.88833,0.89833,0.89,0.885,0.90833
tuning_agnews_sd_prefix_p10,0.885,0.87167,0.885,0.89833,0.89167,0.90333,0.89167,0.89333,0.89333,0.89333
tuning_agnews_sd_prefix_p20,0.87833,0.88333,0.88667,0.88333,0.885,0.88833,0.9,0.9,0.89667,0.90333
tuning_agnews_sds2_adapter_c16,0.88,0.87333,0.885,0.885,0.9,0.9,0.90667,0.89667,0.90167,0.90667
tuning_agnews_sds2_adapter_c8,0.88333,0.875,0.89167,0.89,0.88667,0.87833,0.90167,0.89667,0.90667,0.91
tuning_agnews_sds2_lora_r4_a16,0.875,0.88833,0.89,0.89833,0.88167,0.89333,0.895,0.895,0.9,0.90167
tuning_agnews_sds2_lora_r4_a8,0.86667,0.88167,0.89333,0.88833,0.87833,0.88,0.89833,0.90333,0.90333,0.905
tuning_agnews_sds2_lora_r8_a16,0.87333,0.87667,0.89333,0.89333,0.89667,0.895,0.88833,0.89833,0.90167,0.89667
tuning_agnews_sds2_lora_r8_a8,0.86,0.885,0.895,0.895,0.89667,0.89333,0.9,0.89667,0.91167,0.90333
tuning_agnews_sds2_prefix_p10,0.885,0.87167,0.87833,0.88667,0.90167,0.89333,0.895,0.89333,0.88667,0.90333
tuning_agnews_sds2_prefix_p20,0.87833,0.87833,0.89,0.88167,0.905,0.88667,0.89333,0.89667,0.89333,0.89333
