experiment,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
tuning_agnews_der_adapter_c16,0.88555,0.89207,0.89375,0.89535,0.89707,0.90409,0.89889,0.90036,0.89872,0.90198
tuning_agnews_der_adapter_c8,0.88359,0.88256,0.89541,0.90042,0.89409,0.89544,0.89985,0.88679,0.89512,0.89203
tuning_agnews_der_lora_r4_a16,0.87496,0.88391,0.89198,0.90013,0.90156,0.89319,0.89344,0.89659,0.89651,0.8893
tuning_agnews_der_lora_r4_a8,0.86601,0.88712,0.89694,0.89205,0.88661,0.88878,0.88991,0.90022,0.90055,0.90164
tuning_agnews_der_lora_r8_a16,0.87326,0.88359,0.88863,0.89507,0.88153,0.89839,0.89676,0.89694,0.89347,0.89528
tuning_agnews_der_lora_r8_a8,0.85845,0.8789,0.89019,0.89688,0.88668,0.88996,0.90543,0.89201,0.89004,0.89173
tuning_agnews_der_prefix_p10,0.8853,0.88017,0.88193,0.87865,0.8934,0.89683,0.89815,0.89305,0.88966,0.90171
tuning_agnews_der_prefix_p20,0.87896,0.88559,0.88559,0.87896,0.889,0.88567,0.90009,0.89528,0.89379,0.89715
tuning_agnews_sd_adapter_c16,0.88063,0.87268,0.87557,0.88265,0.89376,0.8937,0.88894,0.89221,0.89033,0.89993
tuning_agnews_sd_adapter_c8,0.88359,0.87733,0.88559,0.89188,0.88586,0.8923,0.88362,0.89716,0.90556,0.90246
tuning_agnews_sd_lora_r4_a16,0.87496,0.88899,0.89679,0.89291,0.8937,0.88723,0.90361,0.89706,0.89554,0.91036
tuning_agnews_sd_lora_r4_a8,0.86601,0.87909,0.89044,0.89037,0.89708,0.89211,0.90194,0.89874,0.89854,0.89529
tuning_agnews_sd_lora_r8_a16,0.87326,0.87056,0.88685,0.88984,0.89986,0.90158,0.89326,0.89852,0.90492,0.90142
tuning_agnews_sd_lora_r8_a8,0.85845,0.88528,0.89167,0.88376,0.89202,0.88853,0.89844,0.88957,0.88452,0.90832
tuning_agnews_sd_prefix_p10,0.8853,0.87218,0.88503,0.89842,0.89184,0.90319,0.89173,0.89323,0.89316,0.89348
tuning_agnews_sd_prefix_p20,0.87896,0.88426,0.88731,0.88361,0.88567,0.8889,0.90048,0.90023,0.89729,0.90377
tuning_agnews_sds2_adapter_c16,0.88063,0.87415,0.88554,0.88568,0.90033,0.90035,0.90686,0.89718,0.90196,0.90696
tuning_agnews_sds2_adapter_c8,0.88359,0.87648,0.89215,0.89038,0.88725,0.87877,0.90108,0.89684,0.90699,0.91027
tuning_agnews_sds2_lora_r4_a16,0.87496,0.88912,0.89054,0.89852,0.88229,0.89367,0.89543,0.89499,0.90036,0.90183
tuning_agnews_sds2_lora_r4_a8,0.86601,0.8824,0.89377,0.8889,0.87954,0.8806,0.89866,0.90335,0.90331,0.90523
tuning_agnews_sds2_lora_r8_a16,0.87326,0.87729,0.89339,0.89319,0.89671,0.89525,0.8887,0.8983,0.9019,0.89707
tuning_agnews_sds2_lora_r8_a8,0.85845,0.885,0.89532,0.89538,0.89717,0.89377,0.90013,0.89714,0.91164,0.90323
tuning_agnews_sds2_prefix_p10,0.8853,0.87235,0.8783,0.88667,0.90118,0.89342,0.8945,0.89369,0.88608,0.90354
tuning_agnews_sds2_prefix_p20,0.87896,0.87929,0.89064,0.88244,0.90544,0.88682,0.89321,0.89738,0.8934,0.89404
