experiment,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9
tuning_agnews_sds2_a0.25_l10_k0.1_r0.02,0.86818,0.89005,0.89171,0.89989,0.89279,0.90201,0.8987,0.89697,0.90004,0.90646
tuning_agnews_sds2_a0.25_l10_k1_r0.01,0.86818,0.89148,0.88767,0.89092,0.89711,0.89235,0.89841,0.90413,0.90921,0.90483
tuning_agnews_sds2_a0.25_l10_k1_r0.02,0.86818,0.89148,0.89292,0.8979,0.89251,0.89642,0.88276,0.89741,0.88964,0.88948
tuning_agnews_sds2_a0.25_l1_k0.1_r0.01,0.86818,0.89554,0.89637,0.89644,0.88797,0.89641,0.90499,0.90706,0.90573,0.89936
tuning_agnews_sds2_a0.25_l1_k0.1_r0.02,0.86818,0.89554,0.89088,0.88789,0.89505,0.88366,0.89272,0.89743,0.9024,0.90127
tuning_agnews_sds2_a0.25_l1_k1_r0.01,0.86818,0.89148,0.89168,0.89719,0.8947,0.88883,0.89725,0.89933,0.89258,0.89241
tuning_agnews_sds2_a0.25_l1_k1_r0.02,0.86818,0.89148,0.88512,0.8994,0.89736,0.88718,0.89592,0.88593,0.8961,0.89379
tuning_agnews_sds2_a0.5_l0.1_k0.1_r0.01,0.86818,0.88767,0.89426,0.89689,0.88388,0.8999,0.88469,0.89493,0.90159,0.89604
tuning_agnews_sds2_a0.5_l0.1_k0.1_r0.02,0.86818,0.88767,0.89374,0.89754,0.89576,0.8746,0.89579,0.89905,0.89812,0.90962
tuning_agnews_sds2_a0.5_l0.1_k1_r0.01,0.86818,0.88398,0.89021,0.89459,0.90071,0.89513,0.89016,0.89258,0.88432,0.88969
tuning_agnews_sds2_a0.5_l0.1_k1_r0.02,0.86818,0.88398,0.89009,0.88766,0.8914,0.89709,0.89634,0.8925,0.88452,0.88551
tuning_agnews_sds2_a0.5_l10_k0.1_r0.01,0.86818,0.88712,0.88896,0.89302,0.89319,0.89858,0.89644,0.89834,0.89417,0.89926
tuning_agnews_sds2_a0.5_l10_k0.1_r0.02,0.86818,0.88712,0.89072,0.886,0.88658,0.89475,0.90031,0.89076,0.89675,0.89874
tuning_agnews_sds2_a0.5_l10_k1_r0.01,0.86818,0.88767,0.88924,0.89397,0.88738,0.88393,0.89765,0.90107,0.90466,0.89937
tuning_agnews_sds2_a0.5_l10_k1_r0.02,0.86818,0.88767,0.88676,0.88887,0.89015,0.89682,0.89375,0.89897,0.89292,0.90072
tuning_agnews_sds2_a0.5_l1_k0.1_r0.01,0.86818,0.88499,0.89225,0.8863,0.89909,0.8883,0.89739,0.88787,0.88747,0.90502
tuning_agnews_sds2_a0.5_l1_k0.1_r0.02,0.86818,0.88499,0.89489,0.90281,0.87987,0.89246,0.88645,0.89517,0.89428,0.89718
tuning_agnews_sds2_a0.5_l1_k1_r0.01,0.86818,0.88767,0.89021,0.88099,0.89152,0.89561,0.8987,0.90204,0.91026,0.90308
tuning_agnews_sds2_a0.5_l1_k1_r0.02,0.86818,0.88767,0.89006,0.89079,0.89665,0.89574,0.89219,0.89083,0.89339,0.90894
tuning_agnews_sds2_a0.75_l0.1_k0.1_r0.01,0.86818,0.88294,0.89233,0.8879,0.88288,0.89458,0.89006,0.88966,0.88701,0.88371
tuning_agnews_sds2_a0.75_l0.1_k0.1_r0.02,0.86818,0.88294,0.8883,0.8896,0.88668,0.87665,0.8888,0.88734,0.88225,0.89613
tuning_agnews_sds2_a0.75_l0.1_k1_r0.01,0.86818,0.88351,0.89153,0.88949,0.88163,0.89065,0.89475,0.89285,0.89476,0.89611
tuning_agnews_sds2_a0.75_l0.1_k1_r0.02,0.86818,0.88351,0.88717,0.87158,0.88338,0.8897,0.88113,0.8913,0.90041,0.89875
tuning_agnews_sds2_a0.75_l10_k0.1_r0.01,0.86818,0.88106,0.89076,0.88565,0.8863,0.88752,0.88386,0.88801,0.88912,0.9024
tuning_agnews_sds2_a0.75_l10_k0.1_r0.02,0.86818,0.88106,0.88937,0.87229,0.88006,0.89092,0.86993,0.89405,0.89545,0.90186
tuning_agnews_sds2_a0.75_l10_k1_r0.01,0.86818,0.87783,0.89081,0.88481,0.89473,0.88501,0.88524,0.88272,0.87789,0.88744
tuning_agnews_sds2_a0.75_l10_k1_r0.02,0.86818,0.87783,0.8977,0.8834,0.88814,0.87084,0.88657,0.88438,0.87818,0.89831
tuning_agnews_sds2_a0.75_l1_k0.1_r0.01,0.86818,0.88484,0.89113,0.8758,0.87982,0.89113,0.89425,0.89445,0.89008,0.88516
tuning_agnews_sds2_a0.75_l1_k0.1_r0.02,0.86818,0.88484,0.89107,0.88297,0.88587,0.88584,0.88185,0.89657,0.89763,0.90639
tuning_agnews_sds2_a0.75_l1_k1_r0.01,0.86818,0.88141,0.89084,0.8895,0.88873,0.89233,0.88435,0.88859,0.89341,0.889
tuning_agnews_sds2_a0.75_l1_k1_r0.02,0.86818,0.88141,0.89258,0.87974,0.88136,0.88092,0.89253,0.89879,0.8933,0.89427
