experiment,run,time_0
baseline_trec_100_adapter,1,83
baseline_trec_100_adapter,2,83
baseline_trec_100_adapter,3,83
baseline_trec_100_lora,1,87
baseline_trec_100_lora,2,83
baseline_trec_100_lora,3,87
baseline_trec_100_prefix,1,91
baseline_trec_100_prefix,2,83
baseline_trec_100_prefix,3,83
