experiment,run,time_0
baseline_trec_100_adapter,1,1324340
baseline_trec_100_adapter,2,1322481
baseline_trec_100_adapter,3,1325104
baseline_trec_100_lora,1,1314698
baseline_trec_100_lora,2,1310379
baseline_trec_100_lora,3,1310174
baseline_trec_100_prefix,1,1281069
baseline_trec_100_prefix,2,1279776
baseline_trec_100_prefix,3,1279802
