experiment,run,prec_0
baseline_agnews_100_adapter,1,0.91131
baseline_agnews_100_adapter,2,0.90146
baseline_agnews_100_adapter,3,0.91113
baseline_agnews_100_lora,1,0.92462
baseline_agnews_100_lora,2,0.92078
baseline_agnews_100_lora,3,0.91866
baseline_agnews_100_prefix,1,0.90641
baseline_agnews_100_prefix,2,0.91443
baseline_agnews_100_prefix,3,0.90451
