experiment,run,f1_0
baseline_agnews_100_adapter,1,0.91031
baseline_agnews_100_adapter,2,0.90013
baseline_agnews_100_adapter,3,0.91039
baseline_agnews_100_lora,1,0.92198
baseline_agnews_100_lora,2,0.91877
baseline_agnews_100_lora,3,0.91701
baseline_agnews_100_prefix,1,0.90516
baseline_agnews_100_prefix,2,0.91363
baseline_agnews_100_prefix,3,0.90361
