experiment,run,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9
training_trec_10_lora_sd_entropy,1,0.24738,0.55757,0.5902,0.61032,0.63577,0.67409,0.68492,0.84853,0.882,0.86519
training_trec_10_lora_sd_entropy,2,0.23177,0.52283,0.61601,0.82036,0.83782,0.8701,0.8779,0.86873,0.87402,0.9003
training_trec_10_lora_sd_entropy,3,0.22333,0.53102,0.6119,0.63294,0.64059,0.66533,0.65872,0.6721,0.67646,0.66462
training_trec_10_lora_sd_random,1,0.24738,0.5039,0.61498,0.78549,0.64563,0.65066,0.83771,0.83063,0.83523,0.84113
training_trec_10_lora_sd_random,2,0.43424,0.55072,0.63129,0.63292,0.83587,0.66712,0.83208,0.82893,0.84201,0.8629
training_trec_10_lora_sd_random,3,0.20925,0.46999,0.60598,0.61379,0.64841,0.65652,0.67779,0.65975,0.67412,0.85466
training_trec_10_lora_sds2_coreset,1,0.22004,0.51029,0.75506,0.80793,0.82568,0.84479,0.80937,0.83308,0.8261,0.82745
training_trec_10_lora_sds2_coreset,2,0.21368,0.49332,0.7574,0.79568,0.82474,0.79992,0.81071,0.65785,0.82953,0.65319
training_trec_10_lora_sds2_coreset,3,0.25172,0.6562,0.76644,0.79944,0.81721,0.80703,0.82977,0.82963,0.83047,0.834
training_trec_10_lora_sds2_entropy,1,0.24803,0.52772,0.60527,0.61702,0.82547,0.85571,0.87731,0.86221,0.88827,0.88688
training_trec_10_lora_sds2_entropy,2,0.21368,0.49825,0.61205,0.6265,0.63661,0.8337,0.83834,0.84692,0.8719,0.88595
training_trec_10_lora_sds2_entropy,3,0.25172,0.46712,0.63069,0.65948,0.63266,0.65655,0.8312,0.84778,0.85321,0.89402
training_trec_10_lora_sds2_random,1,0.24803,0.4918,0.58789,0.76454,0.81949,0.66011,0.84066,0.83145,0.83491,0.85498
training_trec_10_lora_sds2_random,2,0.24165,0.50673,0.62946,0.79481,0.82536,0.83279,0.84303,0.82809,0.66979,0.85552
training_trec_10_lora_sds2_random,3,0.23581,0.46825,0.59929,0.77991,0.81484,0.83377,0.83523,0.826,0.83753,0.81851
training_trec_10_prefix_der_coreset,1,0.36062,0.5215,0.62074,0.6398,0.66371,0.66124,0.66747,0.83388,0.88264,0.89234
training_trec_10_prefix_der_coreset,2,0.49582,0.61024,0.62541,0.63406,0.65486,0.67562,0.66312,0.67047,0.67153,0.68218
training_trec_10_prefix_der_coreset,3,0.45475,0.60995,0.64866,0.67949,0.66697,0.66213,0.68135,0.69584,0.69287,0.86872
training_trec_10_prefix_der_entropy,1,0.48251,0.57642,0.79464,0.83013,0.85135,0.88891,0.87381,0.89103,0.9007,0.8937
training_trec_10_prefix_der_entropy,2,0.49582,0.55732,0.78447,0.85203,0.86919,0.87019,0.87138,0.86613,0.8589,0.89837
training_trec_10_prefix_der_entropy,3,0.45475,0.59696,0.63231,0.65238,0.67204,0.6643,0.665,0.66976,0.66911,0.68073
training_trec_10_prefix_der_random,1,0.48251,0.76255,0.77807,0.76991,0.66846,0.82828,0.67281,0.83508,0.69171,0.84845
training_trec_10_prefix_der_random,2,0.2777,0.5505,0.62227,0.79767,0.67464,0.67622,0.68857,0.67648,0.68718,0.86215
training_trec_10_prefix_der_random,3,0.38778,0.57106,0.6085,0.6091,0.6618,0.67386,0.67605,0.67185,0.68466,0.84872
training_trec_10_prefix_sd_coreset,1,0.38532,0.75919,0.85049,0.86578,0.86252,0.88513,0.87267,0.87597,0.87437,0.86844
training_trec_10_prefix_sd_coreset,2,0.46524,0.6473,0.64768,0.67134,0.66192,0.65899,0.67392,0.66587,0.67646,0.68601
training_trec_10_prefix_sd_coreset,3,0.55073,0.62104,0.64236,0.64419,0.67528,0.67541,0.84351,0.86744,0.84222,0.83913
training_trec_10_prefix_sd_entropy,1,0.45462,0.59623,0.65861,0.66296,0.65681,0.66034,0.6664,0.66951,0.67502,0.66763
training_trec_10_prefix_sd_entropy,2,0.46524,0.59809,0.63125,0.64983,0.66379,0.65844,0.67003,0.66037,0.6704,0.90134
training_trec_10_prefix_sd_entropy,3,0.55073,0.62326,0.63868,0.65417,0.65841,0.66848,0.67429,0.6732,0.66632,0.6899
training_trec_10_prefix_sd_random,1,0.45462,0.76,0.80292,0.78809,0.82388,0.84617,0.84545,0.84792,0.8565,0.86859
training_trec_10_prefix_sd_random,2,0.48901,0.78851,0.81437,0.81149,0.85041,0.85449,0.85493,0.86858,0.88042,0.87967
training_trec_10_prefix_sd_random,3,0.52122,0.78955,0.82356,0.81917,0.83645,0.8538,0.86732,0.84949,0.8637,0.87404
training_trec_10_prefix_sds2_coreset,1,0.38532,0.77675,0.83742,0.87342,0.86769,0.8354,0.86607,0.85028,0.88662,0.87136
training_trec_10_prefix_sds2_coreset,2,0.46524,0.64197,0.64119,0.65815,0.6755,0.67279,0.67993,0.68006,0.68329,0.68535
training_trec_10_prefix_sds2_coreset,3,0.55073,0.62217,0.6557,0.65778,0.65332,0.67132,0.85609,0.85938,0.9022,0.91669
training_trec_10_prefix_sds2_entropy,1,0.45462,0.63351,0.66385,0.67056,0.68018,0.68034,0.68522,0.68081,0.67387,0.69337
training_trec_10_prefix_sds2_entropy,2,0.46524,0.61057,0.6348,0.64618,0.66739,0.85176,0.90126,0.88285,0.90071,0.90108
training_trec_10_prefix_sds2_entropy,3,0.55073,0.6378,0.64685,0.67206,0.65976,0.66704,0.65578,0.68377,0.68232,0.6793
training_trec_10_prefix_sds2_random,1,0.45462,0.77767,0.8074,0.8131,0.84227,0.84157,0.82945,0.83751,0.84864,0.88147
training_trec_10_prefix_sds2_random,2,0.48901,0.7944,0.81852,0.8282,0.84411,0.87765,0.8701,0.8702,0.85886,0.8678
training_trec_10_prefix_sds2_random,3,0.52122,0.78069,0.80862,0.81313,0.84229,0.86823,0.86108,0.84415,0.85767,0.89172
