experiment,run,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
training_trec_10_lora_sd_entropy,1,0.2695,0.56435,0.63158,0.64704,0.67878,0.70666,0.71337,0.76307,0.84922,0.82672
training_trec_10_lora_sd_entropy,2,0.24473,0.52406,0.64459,0.76029,0.80652,0.84198,0.85991,0.83481,0.85248,0.88033
training_trec_10_lora_sd_entropy,3,0.22715,0.5187,0.63775,0.65699,0.6733,0.69629,0.6959,0.70788,0.71246,0.70506
training_trec_10_lora_sd_random,1,0.2695,0.54906,0.65377,0.66272,0.68331,0.69337,0.70968,0.70884,0.71353,0.7513
training_trec_10_lora_sd_random,2,0.29136,0.59296,0.66378,0.66267,0.70974,0.69988,0.71442,0.71084,0.72214,0.80295
training_trec_10_lora_sd_random,3,0.20576,0.51202,0.63955,0.65317,0.68984,0.69311,0.718,0.70186,0.71238,0.77933
training_trec_10_lora_sds2_coreset,1,0.22935,0.53092,0.63773,0.70287,0.72207,0.74577,0.71497,0.74055,0.71139,0.7807
training_trec_10_lora_sds2_coreset,2,0.19907,0.51841,0.62852,0.68089,0.71042,0.66783,0.70914,0.68649,0.70595,0.68906
training_trec_10_lora_sds2_coreset,3,0.20148,0.50989,0.64868,0.67429,0.70426,0.69804,0.71629,0.72377,0.71113,0.73617
training_trec_10_lora_sds2_entropy,1,0.24313,0.52899,0.63686,0.65539,0.75511,0.81076,0.8376,0.80461,0.85303,0.86122
training_trec_10_lora_sds2_entropy,2,0.19907,0.48931,0.64369,0.66153,0.67554,0.75567,0.7777,0.77838,0.8289,0.83682
training_trec_10_lora_sds2_entropy,3,0.20148,0.46693,0.66643,0.68879,0.67004,0.69232,0.71857,0.7773,0.81275,0.87359
training_trec_10_lora_sds2_random,1,0.24313,0.52458,0.63238,0.64666,0.695,0.70096,0.71928,0.70319,0.71076,0.77896
training_trec_10_lora_sds2_random,2,0.24641,0.54021,0.66223,0.66788,0.69489,0.70988,0.71983,0.70802,0.70567,0.77417
training_trec_10_lora_sds2_random,3,0.18499,0.50229,0.64317,0.66484,0.69256,0.72321,0.72375,0.70693,0.7129,0.73658
training_trec_10_prefix_der_coreset,1,0.37531,0.54261,0.65382,0.6697,0.68821,0.70105,0.70851,0.73676,0.86238,0.8749
training_trec_10_prefix_der_coreset,2,0.50911,0.62104,0.6541,0.67652,0.69586,0.7192,0.70698,0.71083,0.7164,0.72028
training_trec_10_prefix_der_coreset,3,0.48389,0.6369,0.6836,0.71001,0.70292,0.69739,0.71779,0.7158,0.72466,0.75686
training_trec_10_prefix_der_entropy,1,0.48232,0.59921,0.70875,0.80022,0.81555,0.87289,0.85575,0.87558,0.8852,0.87781
training_trec_10_prefix_der_entropy,2,0.50911,0.58705,0.6541,0.82283,0.84101,0.844,0.83461,0.83455,0.82737,0.88511
training_trec_10_prefix_der_entropy,3,0.48389,0.61862,0.65208,0.6806,0.70047,0.69361,0.70309,0.71116,0.71282,0.71508
training_trec_10_prefix_der_random,1,0.48232,0.63623,0.65331,0.65303,0.70735,0.7076,0.71126,0.71131,0.72635,0.74718
training_trec_10_prefix_der_random,2,0.28306,0.58697,0.66315,0.67566,0.70878,0.71671,0.72408,0.71483,0.72196,0.79202
training_trec_10_prefix_der_random,3,0.41102,0.61108,0.64717,0.651,0.70075,0.71218,0.71111,0.71099,0.72105,0.74987
training_trec_10_prefix_sd_coreset,1,0.41373,0.66062,0.76192,0.81085,0.79702,0.83759,0.84017,0.84465,0.81952,0.79724
training_trec_10_prefix_sd_coreset,2,0.47957,0.68002,0.67495,0.70252,0.70087,0.69605,0.71234,0.70091,0.71387,0.72381
training_trec_10_prefix_sd_coreset,3,0.57343,0.65369,0.67603,0.6843,0.70514,0.70707,0.7569,0.8172,0.7617,0.7306
training_trec_10_prefix_sd_entropy,1,0.47368,0.61554,0.68498,0.6839,0.69204,0.70082,0.70796,0.70216,0.71284,0.70926
training_trec_10_prefix_sd_entropy,2,0.47957,0.63439,0.6624,0.67755,0.70028,0.69668,0.71027,0.70132,0.71304,0.88314
training_trec_10_prefix_sd_entropy,3,0.57343,0.65006,0.66229,0.69182,0.70297,0.70847,0.71307,0.71298,0.71079,0.72654
training_trec_10_prefix_sd_random,1,0.47368,0.70031,0.67718,0.67675,0.70439,0.75448,0.73848,0.75265,0.73637,0.82007
training_trec_10_prefix_sd_random,2,0.50162,0.72557,0.74097,0.737,0.79076,0.76863,0.76514,0.7753,0.80616,0.83088
training_trec_10_prefix_sd_random,3,0.52884,0.71297,0.7305,0.74463,0.72451,0.78383,0.81566,0.77106,0.78921,0.84427
training_trec_10_prefix_sds2_coreset,1,0.41373,0.66102,0.73354,0.83996,0.82326,0.73045,0.83661,0.78813,0.85539,0.80336
training_trec_10_prefix_sds2_coreset,2,0.47957,0.67206,0.67893,0.69383,0.70894,0.7128,0.71676,0.71371,0.71862,0.72412
training_trec_10_prefix_sds2_coreset,3,0.57343,0.64803,0.69632,0.69417,0.68255,0.70102,0.78198,0.76693,0.88507,0.90061
training_trec_10_prefix_sds2_entropy,1,0.47368,0.65473,0.67929,0.70888,0.71459,0.72192,0.72488,0.7193,0.71331,0.72895
training_trec_10_prefix_sds2_entropy,2,0.47957,0.63774,0.66493,0.68075,0.70014,0.78361,0.88658,0.86787,0.88683,0.88876
training_trec_10_prefix_sds2_entropy,3,0.57343,0.65221,0.68557,0.70411,0.69164,0.70067,0.69288,0.71869,0.72274,0.71882
training_trec_10_prefix_sds2_random,1,0.47368,0.67063,0.67987,0.73054,0.75639,0.72034,0.7185,0.72221,0.73394,0.821
training_trec_10_prefix_sds2_random,2,0.50162,0.74032,0.7421,0.76987,0.74812,0.81423,0.80611,0.78678,0.75236,0.81033
training_trec_10_prefix_sds2_random,3,0.52884,0.70466,0.72,0.7396,0.72621,0.78027,0.7868,0.75148,0.76686,0.87804
