experiment,run,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9
training_trec_10_lora_sd_entropy,1,0.36485,0.60281,0.68503,0.6983,0.73608,0.76044,0.76716,0.79117,0.85494,0.83292
training_trec_10_lora_sd_entropy,2,0.32488,0.57167,0.69579,0.77757,0.81058,0.84363,0.86123,0.83708,0.85459,0.88348
training_trec_10_lora_sd_entropy,3,0.30474,0.54936,0.68482,0.7026,0.72693,0.74716,0.74939,0.76263,0.76705,0.76263
training_trec_10_lora_sd_random,1,0.36485,0.6074,0.70711,0.71383,0.74032,0.75149,0.76231,0.76456,0.76912,0.78219
training_trec_10_lora_sd_random,2,0.36287,0.64509,0.7138,0.71173,0.75374,0.75383,0.76687,0.7624,0.77354,0.81959
training_trec_10_lora_sd_random,3,0.28269,0.56766,0.68959,0.70731,0.74927,0.74936,0.77795,0.76023,0.76912,0.80433
training_trec_10_lora_sds2_coreset,1,0.32728,0.57468,0.66506,0.72687,0.74687,0.76895,0.74904,0.76675,0.76249,0.78854
training_trec_10_lora_sds2_coreset,2,0.27363,0.5636,0.66518,0.71155,0.74699,0.70257,0.74032,0.74041,0.76038,0.74485
training_trec_10_lora_sds2_coreset,3,0.27789,0.55488,0.67608,0.70927,0.74474,0.73357,0.76246,0.75792,0.75137,0.77126
training_trec_10_lora_sds2_entropy,1,0.33371,0.56091,0.68272,0.70924,0.77763,0.8217,0.84386,0.81743,0.85933,0.8636
training_trec_10_lora_sds2_entropy,2,0.27363,0.53404,0.69395,0.71374,0.73149,0.77763,0.79316,0.7998,0.8395,0.84617
training_trec_10_lora_sds2_entropy,3,0.27789,0.50295,0.71833,0.7405,0.7226,0.74711,0.76029,0.79544,0.81947,0.87684
training_trec_10_lora_sds2_random,1,0.33371,0.57409,0.68719,0.69383,0.74257,0.75807,0.76906,0.75357,0.76465,0.80202
training_trec_10_lora_sds2_random,2,0.32906,0.58523,0.71167,0.71602,0.74485,0.75801,0.76904,0.75801,0.76035,0.79769
training_trec_10_lora_sds2_random,3,0.26477,0.55427,0.6983,0.71596,0.74702,0.77576,0.77117,0.75798,0.76693,0.77567
training_trec_10_prefix_der_coreset,1,0.41854,0.58091,0.70292,0.72053,0.73825,0.76056,0.76936,0.78023,0.86579,0.87453
training_trec_10_prefix_der_coreset,2,0.55395,0.66038,0.7048,0.73383,0.75374,0.78032,0.76708,0.76936,0.77807,0.7781
training_trec_10_prefix_der_coreset,3,0.52544,0.68289,0.73602,0.76254,0.75813,0.75152,0.77365,0.76494,0.78035,0.79135
training_trec_10_prefix_der_entropy,1,0.52933,0.64269,0.72667,0.79702,0.81944,0.87228,0.85453,0.87436,0.88553,0.87901
training_trec_10_prefix_der_entropy,2,0.55395,0.63392,0.69807,0.8214,0.84827,0.84819,0.84167,0.83939,0.835,0.88778
training_trec_10_prefix_der_entropy,3,0.52544,0.65854,0.69596,0.7317,0.75389,0.74722,0.7605,0.77152,0.77368,0.77155
training_trec_10_prefix_der_random,1,0.52933,0.68482,0.70272,0.70254,0.76471,0.7581,0.76912,0.7669,0.78246,0.78459
training_trec_10_prefix_der_random,2,0.34325,0.63611,0.71816,0.72693,0.76482,0.77585,0.78023,0.77354,0.77804,0.81757
training_trec_10_prefix_der_random,3,0.4631,0.66485,0.69816,0.70488,0.75813,0.76918,0.76693,0.76909,0.77801,0.78898
training_trec_10_prefix_sd_coreset,1,0.46094,0.68012,0.77561,0.81743,0.80871,0.84167,0.84143,0.84596,0.8286,0.81096
