experiment,run,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9
training_agnews_10_lora_sd_entropy,1,0.86621,0.87921,0.89862,0.89632,0.89255,0.9056,0.90846,0.90476,0.89995,0.89601
training_agnews_10_lora_sd_entropy,2,0.87066,0.89198,0.89822,0.90398,0.89336,0.89515,0.90793,0.90794,0.9085,0.90516
training_agnews_10_lora_sd_entropy,3,0.88316,0.89239,0.89924,0.90413,0.90808,0.90964,0.90881,0.90671,0.89966,0.90873
training_agnews_10_lora_sd_random,1,0.86621,0.87671,0.86242,0.86053,0.86419,0.87084,0.87898,0.88179,0.89176,0.8854
training_agnews_10_lora_sd_random,2,0.87234,0.88181,0.85374,0.87088,0.8802,0.8867,0.88242,0.89327,0.89685,0.89086
training_agnews_10_lora_sd_random,3,0.86375,0.87895,0.86792,0.87088,0.88573,0.88192,0.8814,0.88515,0.88206,0.87951
training_agnews_10_lora_sds2_coreset,1,0.86899,0.89023,0.87807,0.88973,0.89124,0.89002,0.89671,0.88629,0.89315,0.89796
training_agnews_10_lora_sds2_coreset,2,0.86546,0.88283,0.8888,0.88558,0.88529,0.9024,0.89778,0.90197,0.90071,0.89258
training_agnews_10_lora_sds2_coreset,3,0.87362,0.88432,0.88405,0.88763,0.88965,0.87436,0.88685,0.8942,0.89178,0.89145
training_agnews_10_lora_sds2_entropy,1,0.87118,0.88971,0.8904,0.89174,0.89414,0.89684,0.89831,0.90521,0.90325,0.90601
training_agnews_10_lora_sds2_entropy,2,0.86546,0.88735,0.88417,0.89307,0.88709,0.89046,0.90156,0.89791,0.90417,0.90732
training_agnews_10_lora_sds2_entropy,3,0.87362,0.89721,0.89637,0.89734,0.8936,0.90713,0.8927,0.8943,0.89886,0.9048
training_agnews_10_lora_sds2_random,1,0.87118,0.86598,0.85412,0.86125,0.87626,0.8785,0.88058,0.8849,0.88533,0.87904
training_agnews_10_lora_sds2_random,2,0.87062,0.8696,0.8742,0.8755,0.88057,0.88793,0.87323,0.88701,0.86641,0.88017
training_agnews_10_lora_sds2_random,3,0.86934,0.86494,0.85664,0.86816,0.86927,0.88321,0.88708,0.90392,0.89151,0.89187
training_agnews_10_prefix_der_coreset,1,0.89088,0.89215,0.89827,0.89909,0.88894,0.90036,0.90164,0.90528,0.895,0.89011
training_agnews_10_prefix_der_coreset,2,0.88866,0.8799,0.87834,0.87793,0.88115,0.89481,0.8907,0.89255,0.88816,0.89395
training_agnews_10_prefix_der_coreset,3,0.88342,0.88507,0.89279,0.89811,0.89969,0.89968,0.90281,0.90332,0.90226,0.90588
training_agnews_10_prefix_der_entropy,1,0.88542,0.88908,0.89323,0.88887,0.89096,0.88586,0.90111,0.90294,0.89939,0.89858
training_agnews_10_prefix_der_entropy,2,0.88866,0.88653,0.87779,0.88955,0.89522,0.90368,0.90063,0.90729,0.90379,0.89847
training_agnews_10_prefix_der_entropy,3,0.88342,0.89288,0.89212,0.89634,0.88779,0.89259,0.89569,0.909,0.90902,0.88948
training_agnews_10_prefix_der_random,1,0.88542,0.87527,0.87632,0.88187,0.87613,0.87959,0.89491,0.88662,0.87827,0.8765
training_agnews_10_prefix_der_random,2,0.88824,0.88234,0.87161,0.88141,0.88819,0.88915,0.89204,0.9006,0.88631,0.88539
training_agnews_10_prefix_der_random,3,0.88646,0.8877,0.88401,0.89164,0.8887,0.89255,0.89363,0.89345,0.89371,0.88687
training_agnews_10_prefix_sd_coreset,1,0.88991,0.88305,0.89118,0.88393,0.89947,0.89002,0.90513,0.90397,0.90002,0.89955
training_agnews_10_prefix_sd_coreset,2,0.88534,0.87282,0.87674,0.88472,0.89333,0.89002,0.89263,0.89341,0.89566,0.90292
training_agnews_10_prefix_sd_coreset,3,0.89027,0.89664,0.89174,0.87931,0.88853,0.90255,0.89046,0.89125,0.89583,0.89371
training_agnews_10_prefix_sd_entropy,1,0.89185,0.8943,0.89738,0.89485,0.88975,0.88846,0.89357,0.90614,0.8987,0.9086
training_agnews_10_prefix_sd_entropy,2,0.88534,0.8741,0.89603,0.89606,0.90207,0.90531,0.88795,0.89886,0.89777,0.9071
training_agnews_10_prefix_sd_entropy,3,0.89027,0.8908,0.89469,0.89259,0.88396,0.89695,0.89619,0.89415,0.90035,0.897
training_agnews_10_prefix_sd_random,1,0.89185,0.86292,0.86342,0.87308,0.87455,0.88145,0.88316,0.88323,0.88559,0.87491
training_agnews_10_prefix_sd_random,2,0.88345,0.87279,0.87549,0.87882,0.86914,0.88724,0.8811,0.89722,0.88097,0.87415
training_agnews_10_prefix_sd_random,3,0.89451,0.88049,0.87651,0.88401,0.89312,0.88996,0.88408,0.89705,0.87495,0.87171
training_agnews_10_prefix_sds2_coreset,1,0.88991,0.87753,0.89934,0.89235,0.89121,0.88836,0.89236,0.90548,0.90583,0.90502
training_agnews_10_prefix_sds2_coreset,2,0.88534,0.87482,0.87483,0.89535,0.88008,0.88965,0.89859,0.88724,0.88457,0.87439
training_agnews_10_prefix_sds2_coreset,3,0.89027,0.90154,0.89001,0.88672,0.88914,0.88631,0.89606,0.89479,0.89981,0.89558
training_agnews_10_prefix_sds2_entropy,1,0.89185,0.88926,0.88839,0.88481,0.88944,0.89226,0.89713,0.89992,0.89707,0.89847
training_agnews_10_prefix_sds2_entropy,2,0.88534,0.87733,0.88925,0.89403,0.90364,0.8954,0.90754,0.89407,0.89431,0.89153
training_agnews_10_prefix_sds2_entropy,3,0.89027,0.89248,0.90174,0.89832,0.90756,0.89912,0.8914,0.89361,0.89922,0.89749
training_agnews_10_prefix_sds2_random,1,0.89185,0.86489,0.8752,0.87725,0.89132,0.89113,0.89459,0.87951,0.87923,0.88237
training_agnews_10_prefix_sds2_random,2,0.88345,0.86655,0.86617,0.87407,0.87647,0.88607,0.88976,0.89585,0.87722,0.87613
training_agnews_10_prefix_sds2_random,3,0.89451,0.8813,0.86967,0.87924,0.88366,0.89423,0.89247,0.89599,0.88619,0.88014
