experiment,run,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
training_agnews_10_lora_sd_entropy,1,0.86299,0.87337,0.89363,0.89332,0.88641,0.90133,0.90681,0.90171,0.89677,0.89378
training_agnews_10_lora_sd_entropy,2,0.86836,0.88883,0.89511,0.90177,0.89207,0.89014,0.90511,0.90509,0.90685,0.89988
training_agnews_10_lora_sd_entropy,3,0.88021,0.88863,0.89641,0.89988,0.9068,0.90487,0.90504,0.90327,0.89717,0.90528
training_agnews_10_lora_sd_random,1,0.86299,0.86533,0.85139,0.84823,0.85715,0.8662,0.87481,0.87606,0.88771,0.87952
training_agnews_10_lora_sd_random,2,0.87007,0.87493,0.84379,0.86012,0.86891,0.87771,0.87589,0.89007,0.89485,0.88817
training_agnews_10_lora_sd_random,3,0.86186,0.87265,0.86285,0.86369,0.88163,0.87441,0.87448,0.88152,0.87966,0.87787
training_agnews_10_lora_sds2_coreset,1,0.86299,0.88876,0.87703,0.88737,0.88882,0.88741,0.89401,0.88282,0.88969,0.89556
training_agnews_10_lora_sds2_coreset,2,0.86106,0.88025,0.88729,0.88362,0.88273,0.90072,0.89574,0.9005,0.89826,0.88892
training_agnews_10_lora_sds2_coreset,3,0.86762,0.88232,0.88177,0.88675,0.8886,0.87362,0.88674,0.89349,0.8916,0.88829
training_agnews_10_lora_sds2_entropy,1,0.8629,0.88587,0.88695,0.88876,0.89189,0.89322,0.89686,0.90199,0.8987,0.90353
training_agnews_10_lora_sds2_entropy,2,0.86106,0.88366,0.87862,0.88895,0.88573,0.88815,0.89851,0.89513,0.90041,0.90531
training_agnews_10_lora_sds2_entropy,3,0.86762,0.89393,0.89339,0.89509,0.89209,0.90527,0.89079,0.89361,0.89708,0.90211
training_agnews_10_lora_sds2_random,1,0.8629,0.85887,0.8416,0.8552,0.86808,0.87284,0.87349,0.88316,0.88305,0.87149
training_agnews_10_lora_sds2_random,2,0.86459,0.86307,0.86558,0.86726,0.87296,0.88174,0.86797,0.88319,0.86524,0.87802
training_agnews_10_lora_sds2_random,3,0.8658,0.85869,0.8469,0.86171,0.86102,0.87636,0.88252,0.9014,0.88756,0.88776
training_agnews_10_prefix_der_coreset,1,0.88672,0.89048,0.89529,0.89671,0.88691,0.8988,0.89881,0.90376,0.89387,0.88891
training_agnews_10_prefix_der_coreset,2,0.88522,0.87725,0.8757,0.87577,0.88021,0.89182,0.89011,0.89184,0.88689,0.89186
training_agnews_10_prefix_der_coreset,3,0.87865,0.88384,0.89201,0.89699,0.89869,0.89873,0.90202,0.90198,0.90048,0.90489
training_agnews_10_prefix_der_entropy,1,0.88372,0.88819,0.89182,0.88715,0.8899,0.88516,0.9003,0.9019,0.89846,0.89697
training_agnews_10_prefix_der_entropy,2,0.88522,0.88397,0.87384,0.88708,0.89374,0.90201,0.89678,0.90536,0.90214,0.89692
training_agnews_10_prefix_der_entropy,3,0.87865,0.8909,0.89065,0.89549,0.88707,0.8919,0.89503,0.90495,0.90661,0.88837
training_agnews_10_prefix_der_random,1,0.88372,0.87217,0.87157,0.87819,0.87172,0.87159,0.8913,0.88154,0.87669,0.87317
training_agnews_10_prefix_der_random,2,0.881,0.87694,0.86463,0.87407,0.88101,0.88307,0.88628,0.89681,0.88131,0.88178
training_agnews_10_prefix_der_random,3,0.88392,0.88207,0.87793,0.88409,0.88153,0.88777,0.88638,0.88868,0.88944,0.88305
training_agnews_10_prefix_sd_coreset,1,0.88404,0.88172,0.88848,0.88188,0.89864,0.88865,0.90228,0.90216,0.89737,0.89726
training_agnews_10_prefix_sd_coreset,2,0.88342,0.87073,0.87559,0.88363,0.89194,0.88862,0.89199,0.89209,0.89508,0.90197
training_agnews_10_prefix_sd_coreset,3,0.8843,0.89389,0.8902,0.87736,0.88693,0.90018,0.8901,0.89037,0.89531,0.88985
training_agnews_10_prefix_sd_entropy,1,0.88545,0.89179,0.89042,0.88689,0.88685,0.88716,0.89176,0.90329,0.89818,0.90694
training_agnews_10_prefix_sd_entropy,2,0.88342,0.87249,0.89511,0.89531,0.90058,0.90511,0.88713,0.89847,0.89706,0.90661
training_agnews_10_prefix_sd_entropy,3,0.8843,0.88742,0.89262,0.89085,0.88238,0.89571,0.89547,0.89224,0.89885,0.89555
training_agnews_10_prefix_sd_random,1,0.88545,0.85608,0.84839,0.86353,0.86556,0.87032,0.88062,0.87764,0.88088,0.86928
training_agnews_10_prefix_sd_random,2,0.88128,0.86797,0.86565,0.87202,0.86207,0.88107,0.87686,0.89527,0.88007,0.87304
training_agnews_10_prefix_sd_random,3,0.89041,0.87618,0.86824,0.87841,0.88318,0.88373,0.88115,0.89473,0.87341,0.8684
training_agnews_10_prefix_sds2_coreset,1,0.88404,0.87669,0.8951,0.88836,0.88873,0.88799,0.89017,0.90266,0.90377,0.90218
training_agnews_10_prefix_sds2_coreset,2,0.88342,0.87394,0.87239,0.89243,0.87868,0.88733,0.89689,0.8837,0.88342,0.87097
training_agnews_10_prefix_sds2_coreset,3,0.8843,0.89873,0.88687,0.88566,0.88729,0.88528,0.89369,0.8932,0.89663,0.89274
training_agnews_10_prefix_sds2_entropy,1,0.88545,0.88697,0.87786,0.87646,0.88331,0.89176,0.89522,0.89866,0.89667,0.89717
training_agnews_10_prefix_sds2_entropy,2,0.88342,0.87577,0.88857,0.89215,0.90038,0.89361,0.90678,0.89186,0.8929,0.8886
training_agnews_10_prefix_sds2_entropy,3,0.8843,0.88902,0.9004,0.89546,0.90535,0.89737,0.88888,0.89341,0.89855,0.89566
training_agnews_10_prefix_sds2_random,1,0.88545,0.85876,0.86198,0.87196,0.8813,0.88575,0.88312,0.87217,0.87434,0.8795
training_agnews_10_prefix_sds2_random,2,0.88128,0.86101,0.86292,0.86159,0.87419,0.87873,0.88307,0.88947,0.87494,0.87475
training_agnews_10_prefix_sds2_random,3,0.89041,0.878,0.85422,0.87233,0.87788,0.89106,0.88864,0.89096,0.88323,0.87154
