experiment,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
tuning_sensation_der_adapter_c16,11276,21605,21649,21651,21628,21589,21542,21512,21483,21516
tuning_sensation_der_adapter_c8,11270,21749,21771,21802,21686,21670,21637,21629,21616,21650
tuning_sensation_der_lora_r4_a16,11356,21831,21872,21850,21773,21835,21757,21731,21745,21572
tuning_sensation_der_lora_r4_a8,11287,21761,21818,21828,21722,21741,21760,21702,21715,21519
tuning_sensation_der_lora_r8_a16,11282,21801,21835,21767,21689,21770,21750,21705,21735,21534
tuning_sensation_der_lora_r8_a8,11281,21767,21843,21882,21733,21795,21778,21761,21733,21601
tuning_sensation_der_prefix_p10,11154,21623,21658,21660,21716,21694,21669,21638,21648,21649
tuning_sensation_der_prefix_p20,11475,22295,22320,22324,22292,22284,22273,22262,22268,22240
tuning_sensation_sd_adapter_c16,11141,21543,21586,21587,21555,21549,21527,21507,21481,21445
tuning_sensation_sd_adapter_c8,11270,21662,21762,21739,21704,21671,21624,21643,21593,21551
tuning_sensation_sd_lora_r4_a16,11312,21709,21768,21787,21680,21696,21737,21694,21724,21579
tuning_sensation_sd_lora_r4_a8,11296,21668,21820,21788,21689,21743,21709,21714,21712,21572
tuning_sensation_sd_lora_r8_a16,11221,21743,21820,21787,21669,21719,21691,21753,21715,21542
tuning_sensation_sd_lora_r8_a8,11294,21711,21799,21775,21656,21764,21720,21691,21716,21560
tuning_sensation_sd_prefix_p10,11194,21664,21678,21674,21700,21681,21674,21666,21667,21713
tuning_sensation_sd_prefix_p20,11532,22279,22283,22299,22312,22299,22272,22285,22273,22250
tuning_sensation_sds2_adapter_c16,11127,21767,32420,32678,32680,32690,32650,32669,32642,32657
tuning_sensation_sds2_adapter_c8,11249,21951,32594,32855,32780,32782,32691,32719,32704,32674
tuning_sensation_sds2_lora_r4_a16,11287,21928,32411,32616,32499,32657,32656,32554,32554,32537
tuning_sensation_sds2_lora_r4_a8,11273,21897,32430,32622,32502,32677,32685,32601,32634,32786
tuning_sensation_sds2_lora_r8_a16,11278,21960,32543,32806,32711,32818,32733,32668,32667,32653
tuning_sensation_sds2_lora_r8_a8,11317,21972,32537,32799,32626,32680,32710,32635,32787,32686
tuning_sensation_sds2_prefix_p10,11182,21899,31661,31908,31913,32114,31897,31910,31892,31914
tuning_sensation_sds2_prefix_p20,11466,22489,32363,32627,32617,32659,32643,32631,32636,32626
